KEY,"French"
E_C19_May_Lucias_01,"Vous vouliez me voir, messire Ricardo ?"
E_C19_May_Lucias_02,"Tu quittes souvent ton poste, ces derniers temps."
E_C19_May_Lucias_03,"Les derniers combats contre les démons ont fait beaucoup de victimes, y compris parmi les chevaliers sacrés."
E_C19_May_Lucias_04,"J'étais au chevet des plus sévèrement touchés. Veuillez m'excuser."
E_C19_May_Lucias_05,"Ah ah ah ! Pas la peine de t'excuser !"
E_C19_May_Lucias_06,"Je sais très bien que tu ne laisses jamais les gens dans le besoin."
E_C19_May_Lucias_07,"Bref. Lucias, j'ai appris que c'était ton anniversaire aujourd'hui !"
E_C19_May_Lucias_08,"Je voulais organiser une fête,"
E_C19_May_Lucias_09,"mais avec l'âge, ce genre de choses me sort de la tête, ah ah ah !"
E_C19_May_Lucias_10,"Pardon pour mon léger retard."
E_C19_May_Lucias_11,"Ce n'est pas grand-chose, mais voici ton cadeau."
E_C19_May_Lucias_12,"Merci."
E_C19_May_Lucias_13,"... Mais comment avez-vous su que c'était mon anniversaire ?"
E_C19_May_Lucias_14,"J'ai reçu une lettre du magicien de Stardust aujourd'hui."
E_C19_May_Lucias_15,"Ce doit être un ami à toi, vu qu'il se souvient de ton anniversaire. Il a l'air plutôt intéressant."
E_C19_May_Lucias_16,"Ah ah... oui, j'imagine."
E_C19_May_Lucias_17,"Au fait, te rends-tu parfois dans ta ville natale ?"
E_C19_May_Lucias_18,"Non, je n'en ai jamais eu l'occasion."
E_C19_May_Lucias_19,"Tous les parents ont envie de revoir leur enfant après qu'il a quitté le nid."
E_C19_May_Lucias_20,"Ils s'inquiètent sans cesse pour sa sécurité et sa santé."
E_C19_May_Lucias_21,"Ça peut même empêcher de dormir."
E_C19_May_Lucias_22,"Aujourd'hui est un jour spécial pour toi."
E_C19_May_Lucias_23,"Prends une pause, retourne un peu dans ta ville natale."
E_C19_May_Lucias_24,"Lucias, apporte ceci à tes parents."
E_C19_May_Lucias_25,"Merci pour vos récoltes."
E_C19_May_Lucias_26,"Ah ah ah, ne me remercie pas. C'est grâce à toi que le village est en sécurité."
E_C19_May_Lucias_27,"Je rends grâce à la déesse tous les jours pour cela."
E_C19_May_Lucias_28,"Après tout, c'est elle qui nous a envoyé un enfant béni tel que toi..."
E_C19_May_Lucias_29,"Tout le monde me dit ça, c'est gênant..."
