KEY,German
NORMALBOSS_TITLE,Boss
CREATURE_RACE_TYPE.HERO,Helden
CREATURE_RACE_TYPE.DARKNESS,Dunkelheit des Helden
CREATURE_RACE_TYPE.FAIRY,Fee
CREATURE_RACE_TYPE.NPC,NPC
CREATURE_RACE_TYPE.GOBLIN,Goblin
CREATURE_RACE_TYPE.ORC,Ork
CREATURE_RACE_TYPE.SLIME,Schleim
CREATURE_RACE_TYPE.GOLEM,Golem
CREATURE_RACE_TYPE.SPIDER,Spinne
CREATURE_RACE_TYPE.GIANT_WORM,Riesenwurm
CREATURE_RACE_TYPE.SKELETON,Skelett
CREATURE_RACE_TYPE.BOAR,Wildschwein
CREATURE_RACE_TYPE.ENT,Ent
CREATURE_RACE_TYPE.DRYAD,Dryade
CREATURE_RACE_TYPE.HARPY,Harpie
CREATURE_RACE_TYPE.DARK_ELF,Dunkelelf
CREATURE_RACE_TYPE.LAUGHING_MASK,Lachende Maske
CREATURE_RACE_TYPE.LIVING_WEAPON,Lebende Waffe
CREATURE_RACE_TYPE.MUHROOM,Pilz
CREATURE_RACE_TYPE.WASP,Wespe
CREATURE_RACE_TYPE.NEPENTHES,Kannenpflanze
CREATURE_RACE_TYPE.TORTOISE,Schildkröte
CREATURE_RACE_TYPE.MIMIC,Mime
CREATURE_RACE_TYPE.WOLF,Wolf
CREATURE_RACE_TYPE.HORNED_BEAR,Gehörnter Bär
CREATURE_RACE_TYPE.GNOLL,Gnoll
CREATURE_RACE_TYPE.BARRICADE,Barrikade
CREATURE_RACE_TYPE.Scorpion,Skorpion
CREATURE_RACE_TYPE.Hydra,Hydra
CREATURE_RACE_TYPE.Mummy,Mumie
CREATURE_RACE_TYPE.Lizardman,Eidechse
CREATURE_RACE_TYPE.FrostGiant,Frostriese
CREATURE_RACE_TYPE.BOSS,Boss
CREATURE_RACE_TYPE.RAID,Raid
CREATURE_NAME_1,Kasel
CREATURE_TITLE_1,Krieger des Heiligen Schwertes Kasel
CREATURE_DESC_1,"Der auserwählte Krieger des Heiligen Schwertes Aea, das Schwert, das die Welt bereits einmal rettete.\nEr kann Feinde zurückwerfen und sich selbst mit der Macht des heiligen Schwertes stärken."
CREATURE_NAME_2,Frey
CREATURE_TITLE_2,Priesterin des Lichts Frey
CREATURE_DESC_2,"Kasels Kindheitsfreundin. Sie ist eine Priesterin, die der Göttin dient. Sie heilt und beschützt ihre Gefährten mit der Macht des Lichts.\nMit dem Segen der Göttin kann sie die magischen Kräfte und Resistenzen einer Person erhöhen."
CREATURE_NAME_3,Cleo
CREATURE_TITLE_3,Zauberin des Fegefeuers Cleo
CREATURE_DESC_3,"Eine Zauberin aus dem Roten Turm. Dieses mutige Mädchen benutzt explosive Feuermagie, um mehrere Feinde zu verbrennen\nund fügt ihnen sogar größeren Schaden zu, indem sie die Glut explodiert."
CREATURE_NAME_4,Roi
CREATURE_TITLE_4,Schnelle Mörderklinge Roi
CREATURE_DESC_4,"Ein ehemaliger Meuchelmörder mit einer dunklen Vergangenheit. Er ist auf einzelne Ziele spezialisiert\nund greift aus toten Winkeln mit starken, endlosen Angriffen an."
CREATURE_NAME_5,Gau
CREATURE_TITLE_5,Barbar der Frostländer Gau
CREATURE_DESC_5,"Ein Barbar, der über die schneebedeckten Ebenen des Frostlandes herrscht.\nEr zerstört die feindliche Moral mit ohrenbetäubenden Schreien und stürmt ungebremst auf seine Feinde zu."
CREATURE_NAME_6,Phillop
CREATURE_TITLE_6,Zwergenkönig Phillop
CREATURE_DESC_6,"Ein legendärer Drachentöter, der zahlreiche Drachenjagden hinter sich hat.\nTrotz seiner kleinen Statur kann er mit seinem Schildschlag feindliche Formationen zerstören, meist gefolgt von einem tödlichen Axtschwung."
CREATURE_NAME_7,Lakrak
CREATURE_TITLE_7,Handkanonenjäger Lakrak
CREATURE_DESC_7,"Ein weißer Goblin, extrem begabt in mechanischer Ingenieurskunst. Er verursacht Explosivschaden mit seiner Handkanone, unterbricht Feinde mit Spezialkugeln und verursacht tödlichen Schaden an ihnen."
CREATURE_NAME_8,Kaulah
CREATURE_TITLE_8,Blitzschamane Kaulah
CREATURE_DESC_8,"Als langjähriger Orkhäuptling des Himmel-und-Wind Stammes\nbenutzt er Elementarkräfte mithilfe des Himmels und des Windes.\nMächtige Blitze paralysieren Feinde, während Gefährten vom Wind geheilt und gestärkt werden."
CREATURE_NAME_9,Epis
CREATURE_TITLE_9,Verführerischer Dämon Epis
CREATURE_DESC_9,"Ein kaltblütiger, hedonistischer Dämon.\nMit ihrer großen Sense sammelt sie die Seelen ihrer Feinde.\nSie erscheint plötzlich bei den Feinden auf und schlitzt alle um sie herum auf."
CREATURE_NAME_10,Selene
CREATURE_TITLE_10,Windreißer-Pfeil Selene
CREATURE_DESC_10,"Die Elfenprinzessin mit der erhabenen Aura dient als Wächterin des heiligen Waldes.\nMit Mondenergie gefüllten Pfeilen verfolgen sie ihre Feinde,\während ihre Windenergie-erfüllten Pfeile ihre Feinde gnadenlos niederstrecken."
CREATURE_NAME_11,Maria
CREATURE_TITLE_11,Gefallene Hexe Maria
CREATURE_DESC_11,"Einst war sie die Heilige, die den Retter der alten Welt segnete.\nDie verfluchte, wütende Krähe schießt scharfe Federn\nauf die Feinde und bricht die feindliche Formation auf."
CREATURE_NAME_12,Miruru
CREATURE_TITLE_12,Verfluchte Piratenkaiserin Miruru
CREATURE_DESC_12,"Die legendäre Piratin, verflucht und in ein kleines Mädchen verwandelt.\nIhre Präzision mit ihren Kanonenbällen sucht ihresgleichen."
CREATURE_NAME_13,Lorraine
CREATURE_TITLE_13,Großgelehrte Elidoras Lorraine
CREATURE_DESC_13,"Die Elfdruidin, die den menschlichen Streitkräften dabei half, die Invasion des Dunklen Lords zurückzuschlagen.\nMit der Macht der Natur greift sie ihre Feine mit Bäumen an."
CREATURE_NAME_14,Maya
CREATURE_TITLE_14,Tapfere Biestmeisterin Maya
