KEY,Thai
MENU_ARCHIVE,ดัชนี
ARCHIVE_SELECT,เลือกดัชนี
ARCHIVE_HERO,ดัชนีวีรบุรุษ
ARCHIVE_HERO_DESC,แสดงข้อมูลเกี่ยวกับฮีโร่ เช่น ประวัติและเสียง
ARCHIVE_MONSTER,ดัชนีมอนสเตอร์
ARCHIVE_MONSTER_DESC,แสดงคำอธิบายเกี่ยวกับสกิลและมอนสเตอร์
ARCHIVE_ITEM,ดัชนีไอเทม
ARCHIVE_ITEM_DESC,แสดงคำอธิบายและข้อมูลเกี่ยวกับไอเทม เช่น อาวุธเฉพาะและสิ่งประดิษฐ์
ARCHIVE_UNIQUE_WEAPON,ดัชนีอาวุธเฉพาะ
ARCHIVE_UNIQUE_WEAPON_DESC,แสดงข้อมูลเกี่ยวกับอาวุธเฉพาะ
ARCHIVE_ARTIFACT,ดัชนีสิ่งประดิษฐ์
ARCHIVE_ARTIFACT_DESC,แสดงข้อมูลเกี่ยวกับสิ่งประดิษฐ์
ARCHIVE_EQUIMENT,ดัชนีอุปกรณ์ทั่วไป
ARCHIVE_EQUIMENT_DESC,แสดงข้อมูลเกี่ยวกับอุปกรณ์
ARCHIVE_NORMAL_ITEM,ดัชนีไอเทมทั่วไป
ARCHIVE_NORMAL_TEM_DESC,แสดงข้อมูลเกี่ยวกับไอเทมทั่วไป รวมถึงไอเทมที่ใช้แล้วหมดไป
ARCHIVE_TREASURE,ดัชนีสมบัติเฉพาะ
ARCHIVE_TREASURE_DESC,แสดงข้อมูลเกี่ยวกับสมบัติเฉพาะ
ARCHIVE_COLLECT_RATE,ความคืบหน้าในการสะสม
ARCHIVE_PROFILE,ประวัติ
ARCHIVE_HERO_SKILL_SHOW,แสดงทักษะสกิล
ARCHIVE_HERO_SKILL_HIDE,ซ่อนทักษะสกิล
ARCHIVE_HERO_SKILL_SHOW2,ดูคุณสมบัติของทักษะ
ARCHIVE_TRANSCEND,จุติ
ARCHIVE_VOICE,เสียง
ARCHIVE_ILLUST,ภาพวาด
ARCHIVE_UI_HIDE,ซ่อน UI
ARCHIVE_SHOW_ANI,ดูภาพเคลื่อนไหว
ARCHIVE_HERO_NAME,ชื่อ
ARCHIVE_HERO_TITLE,ฉายา
ARCHIVE_HERO_GENDER,เพศ
HERO_GENDER_MALE,ชาย
HERO_GENDER_FEMALE,หญิง
HERO_GENDER_PAVEL,ชาย (+หญิง)
HERO_GENDER_KARA,ไม่มีเพศ (ประเภทหญิง)
HERO_GENDER_RAVRIL,หญิง (กระต่ายเป็นตัวผู้)
ARCHIVE_HERO_RACE,เผ่าพันธุ์
ARCHIVE_HERO_AGE,อายุ
ARCHIVE_HERO_AGE_DESC,{1} ปี
ARCHIVE_HERO_LENGTH,ส่วนสูง
ARCHIVE_HERO_LENGTH_DESC,{1} ซม.
ARCHIVE_HERO_BIRTH,วันเกิด
ARCHIVE_HERO_BIRTH_DESC,วันที่ {2} ของ{1}
ARCHIVE_HERO_CONSTELL,กลุ่มดาว
ARCHIVE_HERO_LIKE,ชอบ
ARCHIVE_HERO_UNLIKE,ไม่ชอบ
ARCHIVE_HERO_STORY,เรื่องราว
ARCHIVE_HERO_NOTHOLDING,คุณไม่มีฮีโร่นี้
ARCHIVE_CV_NAME,นักพากย์ (CV)
ARCHIVE_VOCIE_NOINFO,ไม่มีข้อมูลนักพากย์
HERO_VOICE_ATTACK_1,ตะโกน
HERO_VOICE_ATTACK_2,การโจมตีพื้นฐาน 2
HERO_VOICE_ATTACK_3,การโจมตีพื้นฐาน 3
HERO_VOICE_SKILL_1,ใช้สกิล 1
HERO_VOICE_SKILL_2,ใช้สกิล 2
HERO_VOICE_SKILL_3,ใช้สกิล 3
HERO_VOICE_SKILL_4,ใช้สกิล 4
HERO_VOICE_HIT,ความเสียหาย
HERO_VOICE_LOSE,ตาย
HERO_VOICE_JOIN,เข้าปาร์ตี้
HERO_VOICE_VICTORY,ชนะการต่อสู้
HERO_VOICE_AWAKE,คัตซีนของวิวัฒนาการ
HERO_VOICE_TRANS,คัตซีนการจุติ
HERO_VOICE_INNREACTION,ปฏิกิริยาตอบโต้ที่กระท่อม
HERO_VOICE_ATTACK_1_LEWISIA5,การโจมตีพื้นฐาน (5 ดาว)
HERO_VOICE_SKILL_1_LEWSIA5,ลูกแก้วเลือด (5 ดาว)
HERO_VOICE_SKILL_2_LEWSIA5,พื้นดินแห่งเลือด (5 ดาว)
HERO_VOICE_SKILL_3_LEWSIA5,งานเลี้ยงแห่งเลือด (5 ดาว)
HERO_VOICE_SKILL_4_LEWSIA5,ใช้สกิล 4 (5 ดาว)
HERO_VOICE_HIT_LEWSIA5,ความเสียหาย (5 ดาว)
HERO_VOICE_LOSE_LEWSIA5,ตาย (5 ดาว)
HERO_VOICE_JOIN_LEWSIA5,เข้าปาร์ตี้ (5 ดาว)
HERO_VOICE_VICTORY_LEWSIA5,ชนะการต่อสู้ (5 ดาว)
HERO_VOICE_AWAKE_LEWSIA5,คัตซีนของวิวัฒนาการ (5 ดาว)
HERO_VOICE_TRANS_LEWSIA5,คัตซีนการจุติฮีโร่ (5 ดาว)
HERO_VOICE_INNREACTION_LEWSIA5,ปฏิกิริยาตอบโต้ที่โรงแรม (5 ดาว)
HERO_VOICE_ATTACK_1_LEWISIA3,การโจมตีพื้นฐาน (3 - 4 ดาว)
HERO_VOICE_SKILL_1_LEWSIA3,ใช้สกิล 1 (3 - 4 ดาว)
HERO_VOICE_SKILL_2_LEWSIA3,ใช้สกิล 2 (3 - 4 ดาว)
HERO_VOICE_SKILL_3_LEWSIA3,ใช้สกิล 3 (3 - 4 ดาว)
HERO_VOICE_SKILL_4_LEWSIA3,ใช้สกิล 4 (3 - 4 ดาว)
HERO_VOICE_HIT_LEWSIA3,ความเสียหาย (3 - 4 ดาว)
HERO_VOICE_LOSE_LEWSIA3,ตาย (3 - 4 ดาว)
HERO_VOICE_JOIN_LEWSIA3,เข้าปาร์ตี้ (3 - 4 ดาว)
HERO_VOICE_VICTORY_LEWSIA3,ชนะการต่อสู้ (3 - 4 ดาว)
HERO_VOICE_AWAKE_LEWSIA3,คัตซีนของวิวัฒนาการ (3 - 4 ดาว)
HERO_VOICE_TRANS_LEWSIA3,คัตซีนการจุติฮีโร่ (3 - 4 ดาว)
HERO_VOICE_INNREACTION_LEWSIA3,ปฏิกิริยาตอบโต้ที่โรงแรม (3 - 4 ดาว)
HERO_VOICE_SKILL_1_EZEKIEL,สัญชาตญาณทำลายล้าง (สถานะดุดัน)
HERO_VOICE_SKILL_2_EZEKIEL,ความสิ้นหวังคืบคลาน (สถานะดุดัน)
HERO_VOICE_SKILL_3_EZEKIEL,กวาดล้างสิ้นซาก (สถานะดุดัน)
HERO_VOICE_SKILL_4_EZEKIEL,เลือดต้องคำสาป (สถานะดุดัน)
HERO_VOICE_WELCOME_1,ต้อนรับทักทาย 1
HERO_VOICE_WELCOME_2,ต้อนรับทักทาย 2
HERO_VOICE_WELCOME_3,ต้อนรับทักทาย 3
HERO_VOICE_TOUCH_1,โต้ตอบ 1
HERO_VOICE_TOUCH_2,โต้ตอบ 2
HERO_VOICE_TOUCH_3,โต้ตอบ 3
HERO_VOICE_TOUCH_4,โต้ตอบ 4
HERO_VOICE_TOUCH_5,โต้ตอบ 5
HERO_VOICE_TOUCH_6,โต้ตอบ 6
HERO_VOICE_BUY_1,ขอบคุณ 1
HERO_VOICE_BUY_2,ขอบคุณ 2
ARCHIVE_3D_SHOW,ดูต้นแบบสามมิติ
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,ข้อความแนะนำอาวุธเฉพาะ
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,คุณยังไม่ได้รับอาวุธเฉพาะนี้
ARCHIVE_TREASURE_INTRODUCE,ข้อความแนะนำสมบัติเฉพาะ
ARCHIVE_TREASURE_NOTHOLDING,คุณยังไม่ได้รับสมบัติเฉพาะนี้
ARCHIVE_ARTIFACT_INTRODUCE,ข้อความแนะนำสิ่งประดิษฐ์
ARCHIVE_ARTIFACT_NOTHOLDING,ยังไม่ได้รับสิ่งประดิษฐ์นี้
ARCHIVE_ITEM_INTRODUCE,คำแนะนำไอเทม
ARCHIVE_ITEM_NOTHOLDING,คุณยังไม่ได้รับไอเทมนี้
ARCHIVE_ITEM_NO_STORY,เรากำลังเตรียมเรื่องราว
ARCHIVE_KILL_RATE,อัตราการสังหาร
ARCHIVE_RAID,เรดมังกร
ARCHIVE_CHALLENGERAID,เรดแห่งความท้าทาย
ARCHIVE_GUILDRAID,บอสกิลด์
ARCHIVE_WORLDBOSS,บอสโลก
ARCHIVE_GODKING,บททดสอบแห่ง\nราชาเทพเจ้า
ARCHIVE_ECLIPSE,อีคลิปส์
ARCHIVE_CHAPTER_BOSS,บอสแชปเตอร์
ARCHIVE_CONQUEST,พิชิต
ARCHIVE_NORMAL_MONSTER,มอนสเตอร์ปกติ
ARCHIVE_MONSTER_INTRODUCE,คำแนะนำ
ARCHIVE_STAT,ทั่วไป
ARCHIVE_SKILL,สกิล
ARCHIVE_EASY_NORMAL,โหมดง่าย & ปกติ
ARCHIVE_RAID_SINGLE,เรดเดี่ยว
BIRTH_MONTH_1,เดือนแห่งการคุ้มครอง
BIRTH_MONTH_2,เดือนแห่งสติปัญญา
BIRTH_MONTH_3,เดือนแห่งวิจารณญาณ
BIRTH_MONTH_4,เดือนแห่งชีวิต
BIRTH_MONTH_5,เดือนแห่งความหวัง
BIRTH_MONTH_6,เดือนแห่งความรัก
BIRTH_MONTH_7,เดือนแห่งความปรองดอง
BIRTH_MONTH_8,เดือนแห่งพลังชีวิต
BIRTH_MONTH_9,เดือนแห่งสัจจะ
BIRTH_MONTH_10,เดือนแห่งมิตรภาพ
BIRTH_MONTH_11,เดือนแห่งโชคลาภ
BIRTH_MONTH_12,เดือนแห่งขันติ
ARCHIVE_CONSTELL_1,ผู้พิทักษ์ Mertis
ARCHIVE_CONSTELL_2,นักปราชญ์ Satua
ARCHIVE_CONSTELL_3,ประกาศก Lasiphil
ARCHIVE_CONSTELL_4,นักบุญ Armil
ARCHIVE_CONSTELL_5,หัวขโมย Graham
ARCHIVE_CONSTELL_6,นักกวี Mira
ARCHIVE_CONSTELL_7,นักประดิษฐ์ Notmun
ARCHIVE_CONSTELL_8,ผู้พิชิต Kandala
ARCHIVE_CONSTELL_9,ผู้พิพากษา Layan
ARCHIVE_CONSTELL_10,จักรพรรดินี Asiphia
ARCHIVE_CONSTELL_11,นักแม่นธนู Gisla
ARCHIVE_CONSTELL_12,นักเดินทาง Hexipolia
HERO_RACE_HUMAN,มนุษย์
HERO_RACE_BABARIAN,บาบาเรี่ยน
HERO_RACE_DWARF,คนแคระ
HERO_RACE_GOBLIN,กอบลิน
HERO_RACE_ORC,ออร์ค
HERO_RACE_DEMON,ปีศาจ
HERO_RACE_ELF,เอลฟ์
HERO_RACE_TAMIA,เทเมีย
HERO_RACE_DARKELF,เอลฟ์มืด
HERO_RACE_HARPY,ฮาร์ปี้
HERO_RACE_DEMON_DRAGON,ปีศาจ (มังกรมืด)
HERO_RACE_UNDEAD,ผีดิบ
HERO_RACE_NOUM,โนม
HERO_RACE_LUNA,สัตว์ผสม (กระต่าย)
HERO_RACE_DRAGON,มังกร
HERO_RACE_ANGEL,เทวดา
HERO_RACE_VAMP,แวมไพร์
HERO_RACE_HALFELF,ครึ่งเอลฟ์
HERO_RACE_HALFDEMON,ปีศาจ (ลูกครึ่ง)
HERO_RACE_REDPER,เรดเพอร์ (เคยเป็นมนุษย์)
HERO_RACE_VISKA,ปีศาจ (สิงร่างมนุษย์)
HERO_RACE_REQUINA,สัตว์ผสม (สุนัขจิ้งจอก)
HERO_RACE_HOMUN,โฮมุนคิวลัส
HERO_RACE_PAVEL,มนุษย์ (มีวิญญาณมังกร)
HERO_RACE_DRAGON_MAN,มังกร
ARCHIVE_RACE_26,แฟรี่
HERO_RACE_GLADI,สัตว์ผสม (แมวป่า)
HERO_RACE_KARA,โกเลมประเภทมนุษย์
HERO_RACE_NIA,มนุษย์ (มีสกิลเลือดปีศาจ)
HERO_RACE_GHOST,ผี
HERO_RACE_LIZARDMAN,มนุษย์กิ้งก่า
HERO_RACE_KIRZE,สัตว์พันธุ์ผสม (แมว)
HERO_AGE_NO_INFO,???
HERO_AGE_MARIA,125 (ร่างกายอายุ 25 ตลอดกาล)
HERO_AGE_DIMAEL,163 (ปีของมนุษย์: 16)
HERO_AGE_MIRURU,27 (อายุจิตใจ: 12)
HERO_AGE_SONIA,16 (ไม่มีการเติบโตนับตั้งแต่สร้าง)
HERO_AGE_PAVEL,243 (มังกร: ???)
HERO_AGE_MIRRIANE,12 (อายุกายภาพ: 18)
HERO_AGE_TANYA,18 (อายุกายภาพ: 18)
HERO_AGE_EZEKIEL,19 (ประกาศตัว)
HERO_AGE_VISKA,14 (ปีศาจ:???)
