KEY,Portuguese
MENU_ARCHIVE,Coleção
ARCHIVE_SELECT,Coleção
ARCHIVE_HERO,Coleção de Heróis
ARCHIVE_HERO_DESC,"Exibe informações dos heróis, como seus perfis e suas vozes."
ARCHIVE_MONSTER,Coleção de Monstros
ARCHIVE_MONSTER_DESC,Exibe informações e descrições dos monstros e de suas habilidades.
ARCHIVE_ITEM,Coleção de Itens
ARCHIVE_ITEM_DESC,"Exibe informações e descrições dos itens, como Armas Únicas, Artefatos entre outros."
ARCHIVE_UNIQUE_WEAPON,Armas Únicas
ARCHIVE_UNIQUE_WEAPON_DESC,Veja informações das Armas Únicas.
ARCHIVE_ARTIFACT,Artefatos
ARCHIVE_ARTIFACT_DESC,Veja informações dos Artefatos.
ARCHIVE_EQUIMENT,Equipamentos Comuns
ARCHIVE_EQUIMENT_DESC,Veja informações dos Equipamentos.
ARCHIVE_NORMAL_ITEM,Itens Comuns
ARCHIVE_NORMAL_TEM_DESC,"Veja informações dos itens comuns, incluindo consumíveis."
ARCHIVE_TREASURE,Tesouros Únicos
ARCHIVE_TREASURE_DESC,Veja informações dos Tesouros Únicos.
ARCHIVE_COLLECT_RATE,Progresso de Coleção
ARCHIVE_PROFILE,Perfil
ARCHIVE_HERO_SKILL_SHOW,Exibir Atributos de Habilidade
ARCHIVE_HERO_SKILL_HIDE,Ocultar Atributos de Habilidade
ARCHIVE_HERO_SKILL_SHOW2,Ver Atributo de Habilidade
ARCHIVE_TRANSCEND,Transcender
ARCHIVE_VOICE,Voz
ARCHIVE_ILLUST,Ilustração
ARCHIVE_UI_HIDE,Ocultar IU
ARCHIVE_SHOW_ANI,Ver Animação
ARCHIVE_HERO_NAME,Nome
ARCHIVE_HERO_TITLE,Título
ARCHIVE_HERO_GENDER,Sexo
HERO_GENDER_MALE,Masculino
HERO_GENDER_FEMALE,Feminino
HERO_GENDER_PAVEL,Masculino (+ Feminino)
HERO_GENDER_KARA,Neutro (tipo Feminino)
HERO_GENDER_RAVRIL,Feminino (O coelho é macho.)
ARCHIVE_HERO_RACE,Raça
ARCHIVE_HERO_AGE,Idade
ARCHIVE_HERO_AGE_DESC,{1} anos
ARCHIVE_HERO_LENGTH,Altura
ARCHIVE_HERO_LENGTH_DESC,{1} cm
ARCHIVE_HERO_BIRTH,Aniversário
ARCHIVE_HERO_BIRTH_DESC,{2}/{1}
ARCHIVE_HERO_CONSTELL,Signo
ARCHIVE_HERO_LIKE,Gostos
ARCHIVE_HERO_UNLIKE,Aversões
ARCHIVE_HERO_STORY,História
ARCHIVE_HERO_NOTHOLDING,Você não tem este herói.
ARCHIVE_CV_NAME,Ator da Voz (VP)
ARCHIVE_VOCIE_NOINFO,Sem Informações do Ator da Voz
HERO_VOICE_ATTACK_1,Brado
HERO_VOICE_ATTACK_2,Ataque Básico 2
HERO_VOICE_ATTACK_3,Ataque Básico 3
HERO_VOICE_SKILL_1,Usar Habilidade 1
HERO_VOICE_SKILL_2,Usar Habilidade 2
HERO_VOICE_SKILL_3,Usar Habilidade 3
HERO_VOICE_SKILL_4,Usar Habilidade 4
HERO_VOICE_HIT,Recebendo dano
HERO_VOICE_LOSE,Morrendo
HERO_VOICE_JOIN,Juntar-se à Equipe
HERO_VOICE_VICTORY,Vencer Batalha
HERO_VOICE_AWAKE,Cutscene de Despertar
HERO_VOICE_TRANS,Cutscene de Transcendência
HERO_VOICE_INNREACTION,Reação na Estalagem
HERO_VOICE_ATTACK_1_LEWISIA5,Ataque Básico (5 Estrelas)
HERO_VOICE_SKILL_1_LEWSIA5,Orbe de Sangue (5 Estrelas)
HERO_VOICE_SKILL_2_LEWSIA5,Zona de Sangue (5 Estrelas)
HERO_VOICE_SKILL_3_LEWSIA5,Banquete de Sangue (5 Estrelas)
HERO_VOICE_SKILL_4_LEWSIA5,Usar Habilidade 4 (5 Estrelas)
HERO_VOICE_HIT_LEWSIA5,Dano (5 Estrelas)
HERO_VOICE_LOSE_LEWSIA5,Morte (5 Estrelas)
HERO_VOICE_JOIN_LEWSIA5,Entrar em Equipe (5 Estrelas)
HERO_VOICE_VICTORY_LEWSIA5,Vencer Batalha (5 Estrelas)
HERO_VOICE_AWAKE_LEWSIA5,Cutscene de Despertar (5 Estrelas)
HERO_VOICE_TRANS_LEWSIA5,Cutscene de Transcendência (5 Estrelas)
HERO_VOICE_INNREACTION_LEWSIA5,Reação na Estalagem (5 Estrelas)
HERO_VOICE_ATTACK_1_LEWISIA3,Ataque Básico (3 - 4 Estrelas)
HERO_VOICE_SKILL_1_LEWSIA3,Usar Habilidade 1 (3 - 4 Estrelas)
HERO_VOICE_SKILL_2_LEWSIA3,Usar Habilidade 2 (3 - 4 Estrelas)
HERO_VOICE_SKILL_3_LEWSIA3,Usar Habilidade 3 (3 - 4 Estrelas)
HERO_VOICE_SKILL_4_LEWSIA3,Usar Habilidade 4 (3 - 4 Estrelas)
HERO_VOICE_HIT_LEWSIA3,Dano (3 - 4 Estrelas)
HERO_VOICE_LOSE_LEWSIA3,Morte (3 - 4 Estrelas)
HERO_VOICE_JOIN_LEWSIA3,Entrar em Equipe (3 - 4 Estrelas)
HERO_VOICE_VICTORY_LEWSIA3,Vencer Batalha (3 - 4 Estrelas)
HERO_VOICE_AWAKE_LEWSIA3,Cutscene de Despertar (3 - 4 Estrelas)
HERO_VOICE_TRANS_LEWSIA3,Cutscene de Transcendência (3 - 4 Estrelas)
HERO_VOICE_INNREACTION_LEWSIA3,Reação na Estalagem (3 - 4 Estrelas)
HERO_VOICE_SKILL_1_EZEKIEL,Instinto Destrutivo (Estado de Fúria)
HERO_VOICE_SKILL_2_EZEKIEL,Desespero Crescente (Estado de Fúria)
HERO_VOICE_SKILL_3_EZEKIEL,Ataque da Perdição (Estado de Fúria)
HERO_VOICE_SKILL_4_EZEKIEL,Sangue Amaldiçoado (Estado de Fúria)
HERO_VOICE_WELCOME_1,Boas-vindas 1
HERO_VOICE_WELCOME_2,Boas-vindas 2
HERO_VOICE_WELCOME_3,Boas-vindas 3
HERO_VOICE_TOUCH_1,Interação 1
HERO_VOICE_TOUCH_2,Interação 2
HERO_VOICE_TOUCH_3,Interação 3
HERO_VOICE_TOUCH_4,Interação 4
HERO_VOICE_TOUCH_5,Interação 5
HERO_VOICE_TOUCH_6,Interação 6
HERO_VOICE_BUY_1,Agradecimento 1
HERO_VOICE_BUY_2,Agradecimento 2
ARCHIVE_3D_SHOW,Ver Modelo 3D
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,Apresentação da Arma Única
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,Você ainda não adquiriu esta arma única.
ARCHIVE_TREASURE_INTRODUCE,Apresentação a Tesouros Únicos
ARCHIVE_TREASURE_NOTHOLDING,Você ainda não adquiriu este tesouro único.
ARCHIVE_ARTIFACT_INTRODUCE,Apresentação do Artefato
ARCHIVE_ARTIFACT_NOTHOLDING,Este artefato ainda não foi adquirido.
ARCHIVE_ITEM_INTRODUCE,Apresentação do Item
ARCHIVE_ITEM_NOTHOLDING,Você ainda não adquiriu este item.
ARCHIVE_ITEM_NO_STORY,Estamos preparando a história.
ARCHIVE_KILL_RATE,Taxa de Baixas
ARCHIVE_RAID,Incursão de Dragão
ARCHIVE_CHALLENGERAID,Incursão de Desafio
ARCHIVE_GUILDRAID,Incursão da Guilda
ARCHIVE_WORLDBOSS,Chefe de Mundo
ARCHIVE_GODKING,Provação do Rei-Deus
ARCHIVE_ECLIPSE,Eclipse
ARCHIVE_CHAPTER_BOSS,Chefe do Capítulo
ARCHIVE_CONQUEST,Batalha do Triunfo
ARCHIVE_NORMAL_MONSTER,Monstro Normal
ARCHIVE_MONSTER_INTRODUCE,Apresentação
ARCHIVE_STAT,Comum
ARCHIVE_SKILL,Poderes
ARCHIVE_EASY_NORMAL,Modo Fácil & Normal
ARCHIVE_RAID_SINGLE,Incursão de Um Jogador
BIRTH_MONTH_1,Mês da Proteção
BIRTH_MONTH_2,Mês da Sabedoria
BIRTH_MONTH_3,Mês do Discernimento
BIRTH_MONTH_4,Mês da Vida
BIRTH_MONTH_5,Mês da Esperança
BIRTH_MONTH_6,Mês do Amor
BIRTH_MONTH_7,Mês da Harmonia
BIRTH_MONTH_8,Mês da Vitalidade
BIRTH_MONTH_9,Mês da Verdade
BIRTH_MONTH_10,Mês da Amizade
BIRTH_MONTH_11,Mês da Fortuna
BIRTH_MONTH_12,Mês da Paciência
ARCHIVE_CONSTELL_1,Méritos do Guardião
ARCHIVE_CONSTELL_2,"Satua, o Sábio"
ARCHIVE_CONSTELL_3,"Lasiphil, o Profeta"
ARCHIVE_CONSTELL_4,"Armil, o Santo"
ARCHIVE_CONSTELL_5,"Graham, o Ladrão"
ARCHIVE_CONSTELL_6,"Mira, a Trovadora"
ARCHIVE_CONSTELL_7,"Notman, o Afinador"
ARCHIVE_CONSTELL_8,"Kandala, o Conquistador"
ARCHIVE_CONSTELL_9,Layan do Julgamento
ARCHIVE_CONSTELL_10,"Asiphia, a Imperatriz"
ARCHIVE_CONSTELL_11,"Gisia, Atiradora de Elite"
ARCHIVE_CONSTELL_12,"Hexipolia, a Andarilha"
