KEY,Thai
Sub1_Theo_1_1_1,หนังสือของ Theo
Sub1_Theo_1_1_2,ข้าเพิ่งเข้าใจหลังจากที่ข้าได้พบเจ้า
Sub1_Theo_1_1_3,ว่าโลกใบนี้ช่างเป็นสถานที่ที่สวยงาม
Sub1_Theo_1_1_4,ข้าเคยรู้จักแต่เพียงวิธีการต่อสู้
Sub1_Theo_1_1_5,เจ้าเป็นทั้งท้องฟ้าและดวงอาทิตย์ของข้า 
Sub1_Theo_1_1_6,วันนั้นที่ข้าคุกเข่าต่อหน้าเจ้า
Sub1_Theo_1_1_7,เจ้ายืนอยู่ท่ามกลางมวลหมู่ดอกไม้อย่างสง่างามอย่างยิ่ง 
Sub1_Theo_1_1_8,แม้บรรดามวลหมู่ดอกไม้ที่สวยงามเหล่านั้นจะมีสีสันที่สดใส 
Sub1_Theo_1_1_9,แต่แก้มสีชมพูของเจ้า
Sub1_Theo_1_1_10,เป็นสิ่งเดียวที่กุมหัวใจข้าไว้
Sub1_Theo_1_1_11,ข้าชื่อ Theo Phil Grayum 
Sub1_Theo_1_1_12,ข้าเป็นอัศวินและหอกคู่กายของเจ้า และข้าจะมีชีวิตเพื่อเจ้า
Sub1_Theo_1_1_13,วันที่ข้าบอกลาอดีตของข้า
Sub1_Theo_1_1_14,และยินดีที่จะเริ่มต้นใหม่กับเจ้า
Sub1_Theo_1_1_15,วันที่เจ้ากุมมือของข้าที่ด้านหนาจากการถือหอกเป็นเวลาหลายปี
Sub1_Theo_1_1_16,ข้ายืนโชกไปด้วยเลือด
Sub1_Theo_1_1_17,แต่เจ้าก็ยังเข้ามากอดข้าอย่างแสนอบอุ่น 
Sub1_Theo_1_1_18,ในวันนั้น ข้าตัดสินใจอย่างแน่วแน่
Sub1_Theo_1_1_19,ข้าจะละทิ้งอดีตของข้าไว้เบื้องหลังเพื่อกุมมือเจ้าไว้
Sub1_Theo_1_1_20,ใช่แล้ว ท้องฟ้าเปิดทางให้ข้ากลับไปหาเจ้าเสมอ 
Sub1_Theo_1_1_21,แม้แต่สายลมที่ทำให้ผมของข้ากระเซิง
Sub1_Theo_1_1_22,ก็ทำให้ข้านึกถึงสัมผัสที่อ่อนโยนของเจ้า
Sub1_Theo_1_1_23,ใช่... และในวันนั้น
Sub1_Theo_1_1_24,วันที่ข้าเสียเจ้าไป ข้าก็นึกได้
Sub1_Theo_1_1_25,มันเป็นเวลาแค่ชั่วครู่
Sub1_Theo_1_1_26,แต่ข้าก็นึกได้ว่า
Sub1_Theo_1_1_27,วันที่สุดแสนจะวิเศษเหล่านั้นจะไม่มีทางหวนกลับมาอีก
Sub1_Theo_1_1_28,วันที่เจ้าหลับใหลไป
Sub1_Theo_1_1_29,ข้าปรารถนาอย่างจริงจังที่จะหลับไปเคียงข้างเจ้า 
Sub1_Theo_1_1_30,...และข้าก็ตระหนักถึงความปรารถนาของข้า
Sub1_Theo_1_1_31,ข้าอยากพบเจ้า...
Sub1_Theo_2_1_1,หอกรักของข้า ผู้คนกำลังตกอยู่ในอันตราย
Sub1_Theo_2_1_2,โปรดไปหยุดยั้ง Berserk Golem ที
Sub1_Theo_2_1_3,แต่ ท่านหญิงของข้า!
Sub1_Theo_2_1_4,ไม่ต้องห่วงข้า ข้าจะปกป้องที่แห่งนี้เอง 
Sub1_Theo_2_1_5,ข้าจะรอเจ้าอยู่ที่นี่เมื่อเจ้ากลับมา
Sub1_Theo_2_1_6,แต่!
Sub1_Theo_2_1_7,Theo...
Sub1_Theo_2_2_1,ในเมื่อตอนนี้เจ้าได้จากไปแล้ว ที่แห่งนี้ก็ไม่เหลืออะไรอีก
Sub1_Theo_2_2_2,100 ปีที่ผ่านมาไม่มีอะไรเหลือเลย
Sub1_Theo_2_2_3,สาธารณรัฐเกรย์... 
