KEY,ChineseTraditional
MONTHLYHERO_FREY_BIRTHDAY_TITLE,～靜謐的早晨～
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,～今天也在追擊中～
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,～值勤中，無異常～
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,～可愛的女人（？）～
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,～所謂上司的生日是？～
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,～紅光的一夜～
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,～抓米芮安！～
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,～意外的休息～
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,～卡爾洛夢遊仙境？～
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,～女王的來訪～
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,～點心時間～
MONTHLYHERO_LEO_BIRTHDAY_TITLE,～拖欠可不行～
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,～邀請您～
MONTHLYHERO_ROI_BIRTHDAY_TITLE,～運氣好的日子～
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,～實驗派對～
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,～惡龍大將軍的回想～
MONTHLYHERO_THEO_BIRTHDAY_TITLE,～創造者～
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,～幸福的禮物～
MONTHLYHERO_JANE_BIRTHDAY_TITLE,～被遺忘的純白之夢～
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,～帝國的騎士們～
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,～結論還是火藥～
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,～聖人的苦惱～
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,～為了賢者大人，同心協力～
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,～第一次迎來的生日～
MONTHLYHERO_KARA_BIRTHDAY_TITLE,～嚇到了吧！～
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,～海盜團員們的生日祝福～
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,～為了目的～
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,～嘗試製作的人～
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,～緊急呼叫！～
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,～傳遞的心意～
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,～準…準備好了～
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,～只屬於他們的聯賽～
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,～一日廚師～
MONTHLYHERO_FREY_BIRTHDAY_DESC,從幾年前開始，每到生日的早上就會突然消失的芙萊兒，她偷偷前往的地方是？
