KEY,Russian
MENU_ARCHIVE,Список
ARCHIVE_SELECT,Выбрать список
ARCHIVE_HERO,Список героев
ARCHIVE_HERO_DESC,"Подробная информация о героях, такая как профиль и голос."
ARCHIVE_MONSTER,Список монстров
ARCHIVE_MONSTER_DESC,Подробная информация о навыках и монстрах.
ARCHIVE_ITEM,Список предметов
ARCHIVE_ITEM_DESC,"Подробная информация о предметах, таких как спецоружия и реликвии."
ARCHIVE_UNIQUE_WEAPON,Список спецоружия
ARCHIVE_UNIQUE_WEAPON_DESC,Подробная информация о спецоружии.
ARCHIVE_ARTIFACT,Список реликвий
ARCHIVE_ARTIFACT_DESC,Подробная информация о реликвиях.
ARCHIVE_EQUIMENT,Список обычного снаряжения
ARCHIVE_EQUIMENT_DESC,Подробная информация о снаряжении.
ARCHIVE_NORMAL_ITEM,Список обычных предметов
ARCHIVE_NORMAL_TEM_DESC,Подробная информация о расходных материалах и др.
ARCHIVE_TREASURE,Список специальных сокровищ
ARCHIVE_TREASURE_DESC,Подобная информация о спец. сокровищах.
ARCHIVE_COLLECT_RATE,Успешно собрано
ARCHIVE_PROFILE,Профиль
ARCHIVE_HERO_SKILL_SHOW,Показать свойства навыков
ARCHIVE_HERO_SKILL_HIDE,Скрыть свойства навыков
ARCHIVE_HERO_SKILL_SHOW2,Посмотреть свойство навыка
ARCHIVE_TRANSCEND,Превосходство
ARCHIVE_VOICE,Голос
ARCHIVE_ILLUST,Иллюстрация
ARCHIVE_UI_HIDE,Скрыть интерфейс
ARCHIVE_SHOW_ANI,Просмотр анимации
ARCHIVE_HERO_NAME,Имя
ARCHIVE_HERO_TITLE,Звание
ARCHIVE_HERO_GENDER,Пол
HERO_GENDER_MALE,Муж.
HERO_GENDER_FEMALE,Жен.
HERO_GENDER_PAVEL,Муж. (+ жен.)
HERO_GENDER_KARA,Нейтральный (женский тип)
HERO_GENDER_RAVRIL,Жен. (Кролик – муж.)
ARCHIVE_HERO_RACE,Раса
ARCHIVE_HERO_AGE,Возраст
ARCHIVE_HERO_AGE_DESC,{1}
ARCHIVE_HERO_LENGTH,Рост
ARCHIVE_HERO_LENGTH_DESC,{1} CM
ARCHIVE_HERO_BIRTH,День рождения
ARCHIVE_HERO_BIRTH_DESC,{1}м. {2} д.
ARCHIVE_HERO_CONSTELL,Созвездие
ARCHIVE_HERO_LIKE,Любит
ARCHIVE_HERO_UNLIKE,Не любит
ARCHIVE_HERO_STORY,История
ARCHIVE_HERO_NOTHOLDING,Этот герой пока не получен.
ARCHIVE_CV_NAME,Актер озвучивания (АО)
ARCHIVE_VOCIE_NOINFO,Нет данных об актере озвучивания
HERO_VOICE_ATTACK_1,Крик
HERO_VOICE_ATTACK_2,Базовая атака 2
HERO_VOICE_ATTACK_3,Базовая атака 3
HERO_VOICE_SKILL_1,Использование навыка 1
HERO_VOICE_SKILL_2,Использование навыка 2
HERO_VOICE_SKILL_3,Использование навыка 3
HERO_VOICE_SKILL_4,Использование навыка 4
HERO_VOICE_HIT,Урон
HERO_VOICE_LOSE,Смерть
HERO_VOICE_JOIN,Присоединение к группе
HERO_VOICE_VICTORY,Победа в битве
HERO_VOICE_AWAKE,Видеозаставка пробуждения
HERO_VOICE_TRANS,Видеозаставка превосходства
HERO_VOICE_INNREACTION,Взаимодействие в таверне
HERO_VOICE_ATTACK_1_LEWISIA5,Базовая атака (5 звезд)
HERO_VOICE_SKILL_1_LEWSIA5,Сфера крови (5 звезд)
HERO_VOICE_SKILL_2_LEWSIA5,Омут крови (5 звезд)
HERO_VOICE_SKILL_3_LEWSIA5,Пир крови (5 звезд)
HERO_VOICE_SKILL_4_LEWSIA5,Использование навыка 4 (5 звезд)
HERO_VOICE_HIT_LEWSIA5,Урон (5 звезд)
HERO_VOICE_LOSE_LEWSIA5,Смерть (5 звезд)
