KEY,ChineseSimplified
MONTHLYHERO_FREY_BIRTHDAY_TITLE,～平静的早晨～
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,～今天也在追击中～
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,～值勤中，无异常～
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,～风月俏佳人（？）～
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,～所谓的上司生日是？～
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,～红光的一夜～
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,～抓米芮安！～
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,～意外的休息～
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,～卡尔洛梦游仙境？～
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,～女王的来访～
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,～甜点时间～
MONTHLYHERO_LEO_BIRTHDAY_TITLE,～不能拖延哦～
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,～我邀请你～
MONTHLYHERO_ROI_BIRTHDAY_TITLE,～运气好的日子～
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,～实验派对～
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,～恶龙大将军的回想～
MONTHLYHERO_THEO_BIRTHDAY_TITLE,～制作的人～
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,～幸福的礼物～
MONTHLYHERO_JANE_BIRTHDAY_TITLE,～被遗忘的纯洁之梦～
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,～帝国的骑士们～
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,～结论还是火药～
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,～圣人的苦恼～
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,～为了贤者，同心协力～
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,～第一次生日～
MONTHLYHERO_KARA_BIRTHDAY_TITLE,～吓了一跳吧！～
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,～海盗团员们的生日祝贺～
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,～为了目的～
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,～尝试制作的人～
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,～紧急呼叫！～
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,～传达的心意～
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,～准…准备好了～
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,～只属于他们的联赛～
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,～一日烹调师～
MONTHLYHERO_FREY_BIRTHDAY_DESC,从几年前开始，芙莱儿一到生日早晨就会突然消失。她秘密前往的地方是？
MONTHLYHERO_TANYA_BIRTHDAY_DESC,谭雅将刺客团的任务抛诸脑后，独自追击着罗伊。\n脑海中突然浮现出过去和罗伊过生日的记忆…
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,洛曼在生日当天也没有任何动摇，依旧执勤。有一些人想为这样的洛曼庆祝生日…
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,最高级VVIP顾客造访梅伊的店铺！\n带着普莉西拉的爱纱问梅伊订购的「那个东西」是？
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,黛弥儿想过一个安静的生日。但是对于王国守护骑士团队长来说，\n不可能有安静的生日。
