KEY,"ChineseTraditional"
E_C19_May_Lucias_01,"瑞卡德大人，您找我嗎？"
E_C19_May_Lucias_02,"你最近好像很忙，經常外出不在啊！"
E_C19_May_Lucias_03,"因為在最近和魔族的戰鬥中不僅是聖騎士，就連許多平民百姓也受到了莫大的傷害。"
E_C19_May_Lucias_04,"我到處尋訪需要幫助的人，所以很少回來，對不起。"
E_C19_May_Lucias_05,"哈哈哈！用不著道歉！"
E_C19_May_Lucias_06,"大家都知道你對於那些陷入困境的人無法置之不理。"
E_C19_May_Lucias_07,"話說回來，魯西亞司，今天是你的生日耶！"
E_C19_May_Lucias_08,"正常來講，我應該會提早跟你道賀。"
E_C19_May_Lucias_09,"可是自從我上了年紀，這種重要的事也好容易忘啊，哈哈哈！"
E_C19_May_Lucias_10,"這次晚說了，抱歉。"
E_C19_May_Lucias_11,"這是我要給你的禮物，雖然沒什麼，但你就收下吧。"
E_C19_May_Lucias_12,"謝謝。"
E_C19_May_Lucias_13,"…不過，您怎麼知道今天是我生日…？"
E_C19_May_Lucias_14,"我今天收到一封「星沙魔術師」寄給我的信。"
E_C19_May_Lucias_15,"既然對方知道你的生日，應該是熟人吧？你交了一個有趣的朋友呢。"
E_C19_May_Lucias_16,"哈哈…嗯…是啊。"
E_C19_May_Lucias_17,"對了，你有回故鄉一趟嗎？"
E_C19_May_Lucias_18,"沒有，沒什麼事情需要回去。"
E_C19_May_Lucias_19,"父母思念子女的心意有如長江水啊！"
E_C19_May_Lucias_20,"擔心子女身體健不健康、有沒有遇到危險的事。"
E_C19_May_Lucias_21,"種種擔憂會讓他們晚上都睡不好覺。"
E_C19_May_Lucias_22,"今天正好是你誕生的珍貴日子，"
E_C19_May_Lucias_23,"不如回故鄉探親，順便喘口氣休息一下吧？"
E_C19_May_Lucias_24,"魯西亞司，這個拿去送給你的父母吧。"
E_C19_May_Lucias_25,"您總是分享農作物給我，真是謝謝。"
E_C19_May_Lucias_26,"哈哈哈，謝什麼。多虧有你在，村莊才會和平安全啊。"
E_C19_May_Lucias_27,"我真的非常感謝女神。"
E_C19_May_Lucias_28,"將你這樣受到祝福的孩子送到我們這來…"
E_C19_May_Lucias_29,"大家老是這麼說，真叫人不好意思…"
E_C19_May_Lucias_30,"村莊外總是充滿傷心和痛苦。"
E_C19_May_Lucias_31,"在你出生之前，我們也因為相似的痛苦而飽受折磨。"
E_C19_May_Lucias_32,"我們現在能夠一展笑顏都是託你的福。"
E_C19_May_Lucias_33,"大家開心的話…我也是…"
E_C19_May_Lucias_34,"（要是我的棉薄之力能讓村民感到幸福…）"
E_C19_May_Lucias_35,"（那我是不是也能到外面，拯救世上痛苦的人們呢？）"
E_C19_May_Lucias_36,"（讓世界沒有痛苦、沒有悲傷…讓所有人都能面帶微笑，感到幸福…）"
E_C19_May_Lucias_37,"世界上還有很多我沒能顧及的人，正飽受痛苦折磨。"
E_C19_May_Lucias_38,"這座王城仍有許多人在混沌和恐怖之中顫抖，不斷地發出哀嚎。"
E_C19_May_Lucias_39,"我現在好像還不能回去故鄉。"
E_C19_May_Lucias_40,"（直到所有痛苦的人獲得救贖）"
