KEY,"German"
CONVERSATION_TU_144,"Lass uns einen Blick 'reinwerfen, vielleicht sind dort Dämonen."
CONVERSATION_TU_163,"Ha ha...das war 'ne Herausforderung..."
CONVERSATION_TU_164,"Gratuliere, Kasel. Du hast die Prüfung bestanden."
CONVERSATION_TU_165,"Du hast den Kampf gegen dein korrumpiertes Selbst gewonnen."
CONVERSATION_TU_166,"Danke sehr, Hillia."
CONVERSATION_TU_167,"Aber dies ist nicht das Ende."
CONVERSATION_TU_168,"Du solltest einen Kristall der Dunkelheit von deinem dunklen Doppelgänger erhalten haben."
CONVERSATION_TU_169,"Du meinst dieses Ding?"
CONVERSATION_TU_170,"Ja. Nimm es zum Raum der Reinigung, um es zu säubern. Damit kannst du deine innere Stärke zum Vorschein bringen."
CONVERSATION_TU_171,"Unglaublich. Meine Kraft strömt förmlich über!"
CONVERSATION_TU_172,"Gut gemacht. Durch die Prüfungen bist du erstaunlich viel gewachsen."
CONVERSATION_TU_173,"Vergiss nicht diese Lehre und sei bereit, jegliche Hindernisse auf deinem Weg zu überwinden."
CONVERSATION_TU_174,"Danke sehr, Hilia. Ich werd' daran denken."
CONVERSATION_238,"W...was du sein?"
CONVERSATION_239,"Und warum du so starkk?"
CONVERSATION_240,"Wo ist mein Bruder?!"
CONVERSATION_241,"Du Bruder? Warum fragen mich?"
CONVERSATION_242,"Beruhige dich, Kasel!"
CONVERSATION_243,"Ruhig."
CONVERSATION_244,"Ansonsten wirst du die falsche Entscheidung treffen."
CONVERSATION_245,"Puuh...puuh..."
CONVERSATION_246,"Wie auch immer..."
CONVERSATION_247,"Sind das hier alles Bomben?"
CONVERSATION_248,"Bomben! Ich stolz!"
CONVERSATION_249,"Mein Boss mich loben-ack!"
CONVERSATION_250,"Ich Baum bomben!"
CONVERSATION_251,"Boss? Baum? Meinst du den Weltenbaum?"
CONVERSATION_252,"Ack! Ich falsch sagen!"
CONVERSATION_253,"Tarokki Fehler!"
CONVERSATION_254,"Weltenbaum...?"
CONVERSATION_255,"Explosionen, Erschütterung"
CONVERSATION_256,"Verdammt!"
CONVERSATION_257,"Da drüben, am Weltenbaum!"
CONVERSATION_258,"Kasel, Kasel!"
CONVERSATION_259,"Warte!"
CONVERSATION_260,"Ah, ihr Idioten!"
CONVERSATION_261,"Hmpf. Roi, kümmer' dich drum und folge uns!"
CONVERSATION_262,"Tarokki wegrenn!"
CONVERSATION_263,"Er ist weg...naja, allzu viel kann er nicht anrichten."
CONVERSATION_264,"We rennt mit einer brennenden Bombe."
CONVERSATION_272,"Halte durch, Ich komme gleich!"
CONVERSATION_273,"Huch, wann habe ich denn ein junges Ritterchen eingeladen?"
