KEY,"Thai"
CHAPTER1_TITLE,"บทที่ 1. จุดเริ่มต้นของการเดินทาง"
CHAPTER2_TITLE,"บทที่ 2. การสืบทอด"
CHAPTER3_TITLE,"บทที่ 3. ทิศทางของปลายดาบ"
CHAPTER4_TITLE,"บทที่ 4. เปลวไฟแห่งความมืด"
CHAPTER5_TITLE,"บทที่ 5. ราชินีในม่านหมอก"
CHAPTER6_TITLE,"บทที่ 6. ความมืดที่ย้อมด้วยสีทอง"
CHAPTER7_TITLE,"บทที่ 7. เส้นทางแห่งแสงสว่าง"
CHAPTER8_TITLE,"บทที่ 8. ประตูไฟโลกันต์"
CHAPTER9_TITLE,"บทที่ 9. แดนโกลาหล"
CHAPTER95_TITLE,"แชปเตอร์สุดท้าย"
CHAPTER1_BACKGROUND,"King's Plains"
CHAPTER2_BACKGROUND,"Elidora Forest"
CHAPTER3_BACKGROUND,"Ogria Mountain"
CHAPTER4_BACKGROUND,"Galluah Plains"
CHAPTER5_BACKGROUND,"Arrovina Shore"
CHAPTER6_BACKGROUND,"ทะเลทราย Aegina "
MAP_LAMUS_PLAIN,"King's Plains"
MAP_ELLIDORA_FOREST,"Elidora Forest"
MAP_KRAD_MOUNTAIN,"Ogria Mountains"
MAP_KRAD_FOREST,"Galluah Plains"
MAP_SICRAKAM_PLAIN,"Arrovina Shore"
MAP_HALLA_DESERT,"Aegina Desert"
MAP_BALLUTUA_SNOW_MOUNTAIN,"Windland Snow Mountain"
MAP_DIZARSTOM_VOLCANO,"Dragia Volcano"
MAP_GARGOSS_SWAMP,"หนองน้ำแห่ง Gargoss"
MAP_Mysterious_Ruins,"ซากปรักหักพังลี้ลับ"
MAP_ Realm_Empire,"จักรวรรดิ"
MAP_ OrvelianCapital_ Orvel,"Orvel"
MAP_ LandofDeath_Galua,"Galluah แดนแห่งความตาย"
MAP_Border,"ชายแดน"
MAP_Border_Outskirts,"รอบนอกชายแดน"
MAP_Imperial_Office,"สำนักงานหลวง"
MAP_Present,"ปัจจุบัน"
MAP_Past,"อดีต"
TITLE_DARKNESS,"Darkness of"
HERO_GROUP_1,"Cleo & Roi"
HERO_GROUP_2,"Party"
HERO_GROUP_3,"Luna & May"
HERO_GROUP_4,"Luna & Yanne"
HERO_GROUP_5,"Aisha และ Artemia"
HERO_GROUP_6,"ทหาร 1 และ 2"
HERO_GROUP_7,"หน่วยออร์ค"
HERO_GROUP_8,"Epis และ Jane"
HERO_GROUP_9,"Half Breed"
HERO_GROUP_10,"ซัคคิวบัส"
HERO_GROUP_11,"Theo&???"
HERO_GROUP_12,"Shamilla"
HERO_GROUP_13,"Ezekiel และ Viska"
HERO_GROUP_14,"ตัวอย่างทดสอบ"
HERO_GROUP_15,"Demia และ Clause"
HERO_GROUP_16,"Rodina และ Luna"
HERO_GROUP_17,"Requina และ Mediana"
HERO_GROUP_18,"Aselica และ Arch"
HERO_GROUP_19,"Miruru และ Lakrak"
HERO_GROUP_20,"Dimael และ Ezekiel"
HERO_GROUP_21,"Dimael และ Selene"
HERO_GROUP_22,"Rephy & Oddy"
HERO_GROUP_23,"พวกอัศวินดำ"
HERO_GROUP_24,"Ezekiel และ Viska (?)"
HERO_GROUP_25,"Sonia และ Mirianne"
HERO_GROUP_26,"Lilia และ Neraxis"
HERO_GROUP_27,"Crow & Theo"
HERO_GROUP_28,"Ezekiel & Mitra"
HERO_GROUP_29,"Pansirone & Mitra"
HERO_GROUP_30,"Ricardo และ Demia"
HERO_GROUP_31,"Zafir และ Laudia"
HERO_GROUP_32,"Leo และ Clause"
HERO_GROUP_33,"Clause และ Loman"
HERO_GROUP_34,"Chase และ Leo"
HERO_GROUP_35,"Nyx และ Oddy"
HERO_GROUP_36,"Scarlet และ Artemia"
HERO_GROUP_37,"Neraxis และ Lilia"
HERO_GROUP_38,"May และ Requina"
HERO_GROUP_39,"Ricardo และ Mirianne"
HERO_GROUP_40,"Fluss และ Chrisha"
HERO_GROUP_41,"Theo และ Ezekiel"
HERO_GROUP_42,"Mitra และ Rodina"
NPC_KYLE_NAME,"Kyle"
NPC_BLACKKNIGHT_NAME,"อัศวินมืด"
NPC_MALDUK_NAME,"Malduk"
NPC_IzakerrR_NAME,"Izakerr"
