KEY,ChineseSimplified
NORMALBOSS_TITLE,BOSS
CREATURE_RACE_TYPE.HERO,英雄
CREATURE_RACE_TYPE.DARKNESS,英雄的黑暗面
CREATURE_RACE_TYPE.FAIRY,妖精
CREATURE_RACE_TYPE.NPC,NPC
CREATURE_RACE_TYPE.GOBLIN,哥布尔
CREATURE_RACE_TYPE.ORC,兽人族
CREATURE_RACE_TYPE.SLIME,史莱姆
CREATURE_RACE_TYPE.GOLEM,魔像
CREATURE_RACE_TYPE.SPIDER,蜘蛛
CREATURE_RACE_TYPE.GIANT_WORM,巨型沙虫
CREATURE_RACE_TYPE.SKELETON,骷髅
CREATURE_RACE_TYPE.BOAR,野猪
CREATURE_RACE_TYPE.ENT,树人
CREATURE_RACE_TYPE.DRYAD,林精
CREATURE_RACE_TYPE.HARPY,鹰身人族
CREATURE_RACE_TYPE.DARK_ELF,黑暗精灵
CREATURE_RACE_TYPE.LAUGHING_MASK,狞笑面具
CREATURE_RACE_TYPE.LIVING_WEAPON,魔灵武器
CREATURE_RACE_TYPE.MUHROOM,蘑菇
CREATURE_RACE_TYPE.WASP,黄蜂
CREATURE_RACE_TYPE.NEPENTHES,猪笼草
CREATURE_RACE_TYPE.TORTOISE,巨龟
CREATURE_RACE_TYPE.MIMIC,宝箱怪
CREATURE_RACE_TYPE.WOLF,狼
CREATURE_RACE_TYPE.HORNED_BEAR,角熊
CREATURE_RACE_TYPE.GNOLL,豺狼
CREATURE_RACE_TYPE.BARRICADE,木栅栏
CREATURE_RACE_TYPE.Scorpion,蝎子
CREATURE_RACE_TYPE.Hydra,九头蛇
CREATURE_RACE_TYPE.Mummy,木乃伊
CREATURE_RACE_TYPE.Lizardman,蜥蜴人
CREATURE_RACE_TYPE.FrostGiant,冰霜巨人
CREATURE_RACE_TYPE.BOSS,BOSS
CREATURE_RACE_TYPE.RAID,逆袭
CREATURE_NAME_1,凯瑟
CREATURE_TITLE_1,圣剑勇者 凯瑟
CREATURE_DESC_1,拯救世界的圣剑埃亚选择的勇者，挥舞圣剑击败敌人，\n透过圣剑的力量能强化自己。
CREATURE_NAME_2,芙莱儿
CREATURE_TITLE_2,圣光牧师 芙莱儿
CREATURE_DESC_2,凯瑟的青梅竹马，同时也是供奉女神的神官。利用光之力治愈和保护我军，\n还能藉由女神的祝福增强魔力与魔法抵抗力。
CREATURE_NAME_3,克丽欧
CREATURE_TITLE_3,炼狱法师克丽欧
CREATURE_DESC_3,来自法师聚集地－红色之塔的一位精明灵巧的小姐，利用强大的火焰魔法让敌人\n燃起火花，进而引爆火苗造成更大的伤害。
CREATURE_NAME_4,罗伊
CREATURE_TITLE_4,神速刺客 罗伊
CREATURE_DESC_4,有着不为人知的过去且前一份工作是刺客。对单一对象能发挥强大的杀伤力，\n能避开敌人的视线不断发动猛攻与蹂躏对方。
CREATURE_NAME_5,高尔
CREATURE_TITLE_5,酷寒战士 高尔
CREATURE_DESC_5,居住在酷寒雪原地带的野蛮人王国的战士。\n强大的吶喊声能降低敌人的士气，如同暴风般贯穿敌阵。
CREATURE_NAME_6,菲洛普
CREATURE_TITLE_6,矮人之王 菲洛普
CREATURE_DESC_6,过去狩猎无数巨龙的矮人族王，同时也是名英雄豪杰。\n利用小小身躯爆发的强大力量挥动盾破坏阵型，以强力的一击终结敌人的生命。
CREATURE_NAME_7,拉克拉克
CREATURE_TITLE_7,火枪猎手 拉克拉克
CREATURE_DESC_7,精通机械工学的白化哥布尔。\n使用巨大火枪造成爆炸性伤害，利用特制弹药妨碍敌人且造成致命伤。
CREATURE_NAME_8,卡尔洛
CREATURE_TITLE_8,雷电萨满 卡尔洛
CREATURE_DESC_8,长期以来守护天风族的酋长。\n使用风和天空的力量消灭敌人，\n召唤强大的闪电麻痹敌人，赋予我军风的祝福并治愈他们。
CREATURE_NAME_9,爱比丝
CREATURE_TITLE_9,魅惑恶魔 爱比丝
CREATURE_DESC_9,一心只想追求乐趣的残忍恶魔。\n使用巨大镰刀夺取敌人的灵魂，也会突然现身在敌阵当中\n斩杀周围的所有敌人。
CREATURE_NAME_10,瑟琳
CREATURE_TITLE_10,破风之箭 瑟琳
CREATURE_DESC_10,守护神圣之森的精灵族公主。\n蕴含月光之力的箭矢会依照她的意志追击敌人，\n蕴含风之力的箭矢会成为她的力量射穿敌人。
CREATURE_NAME_11,玛莉亚
CREATURE_TITLE_11,堕落女巫 玛莉亚
CREATURE_DESC_11,过去曾赐予祝福给拯救世界的英雄的圣女。\n充满憎恨的诅咒乌鸦会对敌人发射尖锐的羽毛，并且破坏敌人的阵型。
CREATURE_NAME_12,米露露
CREATURE_TITLE_12,受诅咒之海盗女王 米露露
CREATURE_DESC_12,遭受诅咒而变成年幼少女的传说中的海贼。\n能利用从船舰上拆下的大炮精准射中敌人。
CREATURE_NAME_13,罗兰
CREATURE_TITLE_13,艾莉朵拉大贤者 罗兰
CREATURE_DESC_13,先前魔王入侵时曾加入人类联军的精灵族德鲁伊。\n与大自然产生共鸣，透过树木攻击敌人。
CREATURE_NAME_14,玛雅
CREATURE_TITLE_14,勇猛兽王 玛雅
CREATURE_DESC_14,操控装甲怪兽的冷酷猎人。\n利用回转的回旋镖切断敌人退路，藉由装甲怪兽强大的咬合力无情地撕裂敌人。
CREATURE_NAME_15,克劳斯
CREATURE_TITLE_15,铁壁骑士 克劳斯
CREATURE_DESC_15,凯瑟的义兄，同时也是正式的骑士。如同钢铁般坚强的他会在前线保护我军，\n人们说他抵挡敌人攻击且压制敌人的英姿就像是坚固的堡垒一样。
CREATURE_NAME_16,乐皮
CREATURE_TITLE_16,灵魂引渡者 乐皮
CREATURE_DESC_16,可利用灵魂之灯引导灵魂的兽人族。\n借助灵魂的力量治愈我军，\n也会利用灵魂妨碍敌人和补充魔力。
CREATURE_NAME_17,迪麦
CREATURE_TITLE_17,暗影猎者 迪麦
CREATURE_DESC_17,从影子中狩猎敌人的黑暗精灵。\n他的报复之弩在黑暗中射穿敌人。
CREATURE_NAME_18,蕾娜
CREATURE_TITLE_18,电光一闪 蕾娜
CREATURE_DESC_18,使用轻盈单手剑的佣兵。\n藉由敏捷的身手避开敌人的攻击，\n利用如同光一般的速度击倒敌人。
CREATURE_NAME_19,帕菲
CREATURE_TITLE_19,冰龙魔法师 帕菲
CREATURE_DESC_19,受冰龙诅咒获得力量的法师。\n使用强大冰魔法冻结敌人是其主要技能。
CREATURE_NAME_20,黛弥儿
CREATURE_TITLE_20,钢铁壁垒 黛弥儿
CREATURE_DESC_20,使用巨大长矛与盾牌的守护骑士。\n利用如同要塞般的坚强挡住敌人的攻击，\n使用巨大的长矛击败敌人。
CREATURE_NAME_21,奈拉
CREATURE_TITLE_21,风之格斗家 奈拉
CREATURE_DESC_21,专门使用拳套近距离战斗的鹰身人族。\n穿梭在敌阵当中肆意蹂躏敌人，\n使用强烈的连续攻击粉碎敌人。
CREATURE_NAME_22,罗迪娜
CREATURE_TITLE_22,酷寒狙击手 罗迪娜
CREATURE_DESC_22,来自酷寒环境的帝国狙击手。\n无论在何种状况下都能冷静瞄准敌人，只要集中精神就能变得更强。
CREATURE_NAME_23,莫拉
CREATURE_TITLE_23,恶魔之火 莫拉
CREATURE_DESC_23,操控魔王军熔岩的恶魔骑士。\n让敌人承受无止尽的苦痛，利用如同花岗岩般的坚强体魄承受攻击后击倒敌人。
CREATURE_NAME_24,巴杜因
CREATURE_TITLE_24,圣光恶棍 巴杜因
CREATURE_DESC_24,自由奔放但信仰虔诚的露亚教团牧师。\n一边使用能让我军回复且攻击敌人的神圣爆发，同时保护我军。
CREATURE_NAME_25,珍
CREATURE_TITLE_25,石棺之尸 珍
CREATURE_DESC_25,过去曾和魔王军战斗，但后来变成不死族的少女。\n拖着自己沉睡的棺材行动，\n对敌人留下死亡标志，藉此回复自己。
CREATURE_NAME_26,爱纱
CREATURE_TITLE_26,紫罗兰公主 爱纱
CREATURE_DESC_26,奥勒贝利亚的贵族千金。\n贤者之塔首屈一指的天才，获得「紫色」的称号。\n利用华丽的阳伞发射强大魔力炮穿破敌人。
CREATURE_NAME_27,里欧
CREATURE_TITLE_27,永恒书记官 里欧
CREATURE_DESC_27,奥勒贝利亚皇家大书库的书记官。\n使用纹样治愈我军，清除对敌人有益的魔法。
CREATURE_NAME_28,弗鲁斯
CREATURE_TITLE_28,翔舞之刃 弗鲁斯
CREATURE_DESC_28,皇帝的直属菁英护卫骑士团的副骑士团长。\n他施展的迅捷剑术连魔法都能切穿，\n可优先击倒强悍的敌人。
CREATURE_NAME_29,露娜
CREATURE_TITLE_29,月光之子 露娜
CREATURE_DESC_29,携带和自己身体一样巨大的弹弓的谜样孩子。\n巨大弹弓发射的子弹会随着距离越远越强。
CREATURE_NAME_30,莱雅丝
CREATURE_TITLE_30,水之圣女 莱雅丝
CREATURE_DESC_30,守护埃伊纳沙漠绿洲的水之圣女。\n她是已经生存漫长岁月的慈祥水龙，\n她操控的水之力具备强大的治愈力量。
CREATURE_NAME_31,亚克
CREATURE_TITLE_31,净化之箭 亚克
CREATURE_DESC_31,为了处决在地上引起混乱的魔族而降临的高阶天堂神族。\n在空中使用光之箭消灭敌人。
CREATURE_NAME_32,露伊希亚
CREATURE_TITLE_32,血色皇族 露伊希亚
CREATURE_DESC_32,100年前和英雄共同对抗魔族的吸血鬼公主。虽然是不死之身，但目前在慢慢回复过去战争时消耗的力量，操控鲜血与其随从的力量攻击敌人。
CREATURE_NAME_33,尼克斯
CREATURE_TITLE_33,次元斩击者 尼克斯
CREATURE_DESC_33,异色瞳的神秘空间术师。\n撕裂空间召唤的无数支剑攻击敌人。
CREATURE_NAME_34,安妮特
CREATURE_TITLE_34,皇家魔导工学师 安妮特
CREATURE_DESC_34,希望一般人也能使用魔法的天才魔导工学者。\n操控亲手制作的魔导生命体攻击敌人。
