KEY,Portuguese
Sub1_Prisila_1_1_1,Olhos dourados cheios de ansiedade.
Sub1_Prisila_1_1_2,Será que morrerei aqui?
Sub1_Prisila_1_1_3,Isso não é algo que uma criança de menos de dez anos deveria estar se perguntando.
Sub1_Prisila_1_1_4,Mordi os lábios instintivamente
Sub1_Prisila_1_1_5,ao observar a garotinha nervosa.
Sub1_Prisila_1_1_6,Essa garota de mãos pequenas tinha o destino de mudar tudo isto.
Sub1_Prisila_1_1_7,"Achava que tudo era em vão e, ainda assim, sentia pena dela."
Sub1_Prisila_1_1_8,Não se preocupe. Tudo ficará bem.
Sub1_Prisila_1_1_9,"No fim, sempre acaba assim."
Sub1_Prisila_1_1_10,"Eu costumava dizer isso para todos que confiavam em mim e me seguiam,"
Sub1_Prisila_1_1_11,como se fosse um hábito antigo.
Sub1_Prisila_1_1_12,"Não se preocupe, tudo ficará bem."
Sub1_Prisila_1_1_13,A garotinha olhou vagamente para ela enquanto descia da carruagem.
Sub1_Prisila_1_1_14,Estava chovendo forte lá fora.
Sub1_Prisila_1_1_15,"Meu nome é Priscilla, minha senhora, e eu a servirei de agora em diante."
Sub1_Prisila_1_1_16,A mulher olhou para trás na direção da garota e falou com o rosto inexpressivo.
Sub1_Prisila_1_1_17,"As palavras eram formais e duras, mas a voz que as proferiam soava confiável e segura."
Sub1_Prisila_1_1_18,O-obrigada!
Sub1_Prisila_1_1_19,"A garotinha assentiu com a cabeça,"
Sub1_Prisila_1_1_20,e a mulher deixou a carruagem sem voltar a olhar para trás.
Sub1_Prisila_1_1_21,"Pouco tempo depois, o ar dentro da carruagem começou a mudar de repente."
Sub1_Prisila_1_1_22,Crás!
Sub1_Prisila_1_1_23,O som metálico agudo sacudiu a carruagem.
Sub1_Prisila_1_1_24,Os gritos foram omitidos pelo som da chuva.
Sub1_Prisila_1_1_25,"O tempo passou e, por fim, a chuva diminuiu."
Sub1_Prisila_1_1_26,*Clique*
Sub1_Prisila_1_1_27,"A mulher, ensopada, entrou na carruagem."
Sub1_Prisila_1_1_28,A garotinha caiu no choro.
Sub1_Prisila_1_1_29,Obrigada. Obrigada...
Sub1_Prisila_1_1_30,A mulher não sabia o que fazer
Sub1_Prisila_1_1_31,quando a menina começou a chorar de alívio.
Sub1_Prisila_1_1_32,"Em silêncio, ela estendeu os braços e abraçou a garotinha."
Sub1_Prisila_1_1_33,"A menina era baixinha, assim como o som do seu choro."
Sub1_Prisila_1_1_34,Está bem. Estarei sempre aqui ao seu lado.
Sub1_Prisila_2_1_1,Ugh...
Sub1_Prisila_2_1_2,A criatura maligna soltou um guincho de doer os ouvidos
Sub1_Prisila_2_1_3,enquanto seu sangue nojento e pegajoso espirrava acima.
Sub1_Prisila_2_1_4,O sangue carmesim manchou o belo brilho branco da lâmina da sua alabarda.
Sub1_Prisila_2_1_5,Que tipo de soldados você acha necessário no exército?
Sub1_Prisila_2_1_6,Aqueles que não têm opinião própria.
Sub1_Prisila_2_1_7,Aqueles que não se consideram indivíduos.
Sub1_Prisila_2_1_8,Então que tipo de soldado você acha que é?
Sub1_Prisila_2_1_9,Alguém que tem seus próprios pensamentos.
Sub1_Prisila_2_1_10,Alguém que tem crenças.
Sub1_Prisila_2_1_11,Alguém que se considera um indivíduo com uma opinião.
Sub1_Prisila_2_1_12,E alguém que colocará todos em perigo.
Sub1_Prisila_2_1_13,"Tenente Priscilla, é assim que eu vejo você."
Sub1_Prisila_2_1_14,A escolha é sua.
Sub1_Prisila_2_1_15,Escolha qual dos dois percorrerão este caminho tortuoso.
Sub1_Prisila_2_1_16,Será você ou todos aqueles que a seguem?
Sub1_Prisila_2_1_17,Cretinos...
Sub1_Prisila_2_1_18,Ah. Lá vem ela.
Sub1_Prisila_2_1_19,"Tenente, aqui!"
Sub1_Prisila_2_1_20,Os soldados acenaram para Priscilla ao longe.
Sub1_Prisila_2_1_21,"Alguns estavam deitados no chão, exaustos, ou então"
Sub1_Prisila_2_1_22,cuidando de seus colegas feridos.
Sub1_Prisila_2_1_23,Outros cavavam túmulos para aqueles cujas vidas haviam chegado ao fim.
Sub1_Prisila_2_1_24,De quem é a cova?
Sub1_Prisila_2_1_25,De Erox.
Sub1_Prisila_2_1_26,Os corvos se alimentam dos cadáveres a menos que sejam enterrados.
Sub1_Prisila_2_1_27,"Havia dezenas de locais como este, que pertencem aos soldados"
Sub1_Prisila_2_1_28,cujos restos mortais eu havia prometido levar de volta para seus lares.
Sub1_Prisila_2_1_29,Não era algo raro de se acontecer.
Sub1_Prisila_2_1_30,"Minha tropa começou com cerca de 80 soldados,"
Sub1_Prisila_2_1_31,mas as batalhas sem fim diminuíram seus números
Sub1_Prisila_2_1_32,sem quaisquer reforços vindo para ajudar.
Sub1_Prisila_2_1_33,"Fomos mandados para locais mais perigosos,"
Sub1_Prisila_2_1_34,onde tivemos que colocar nossas vidas em perigo.
Sub1_Prisila_2_1_35,"Era para lutarmos batalhas de conquista,"
Sub1_Prisila_2_1_36,mas o que estávamos lutando eram batalhas de sobrevivência.
Sub1_Prisila_2_1_37,Está todo mundo bem?
Sub1_Prisila_2_1_38,É claro. Com quem você acha que está falando?
Sub1_Prisila_2_1_39,Somos guerreiros que encararam centenas de batalhas.
Sub1_Prisila_2_1_40,"Foi uma resposta alegre,"
Sub1_Prisila_2_1_41,"a que eu nada pude dizer,"
Sub1_Prisila_2_1_42,de modo que apenas os encarei.
Sub1_Prisila_2_1_43,O soldado que havia acabado de lhe responder
Sub1_Prisila_2_1_44,também estava ferido e tinha ataduras em volta da cabeça.
Sub1_Prisila_2_1_45,Parece que o seu ego está crescendo mais rápido que as suas habilidades.
Sub1_Prisila_2_1_46,Ha ha. Fala sério.
Sub1_Prisila_2_1_47,"Os soldados coçaram as cabeças e riram timidamente,"
Sub1_Prisila_2_1_48,mas isso me fez sentir um aperto no coração por eles.
Sub1_Prisila_2_1_49,Este lugar é pior do que qualquer um em que já lutamos antes.
Sub1_Prisila_2_1_50,Temo que essas coisas vão surgir de todos os cantos.
Sub1_Prisila_2_1_51,"Sabe, como daquela vez 100 anos atrás..."
Sub1_Prisila_2_1_52,Ei! Não jogue praga!
Sub1_Prisila_2_1_53,Buuum!
Sub1_Prisila_2_1_54,"Um único e longo som de uma trombeta ressoou,"
Sub1_Prisila_2_1_55,"seguido de outros dois após um curto intervalo, e então de um último longo clangor."
Sub1_Prisila_2_1_56,Queria dizer que o inimigo havia aparecido. Vários deles.
Sub1_Prisila_2_1_57,"Ah, fala sério. Você jogou praga!"
Sub1_Prisila_2_1_58,Você está colocando a culpa em mim?
Sub1_Prisila_2_1_59,Foi inesperado.
Sub1_Prisila_2_1_60,A investigação anterior
Sub1_Prisila_2_1_61,não encontrou nada que sugerisse a ocorrência de algo assim.
Sub1_Prisila_2_1_62,"Contudo,"
Sub1_Prisila_2_1_63,Eu tinha um palpite sobre o que estava acontecendo.
Sub1_Prisila_2_1_64,Foi intencional.
Sub1_Prisila_2_1_65,Foi premeditado...
Sub1_Prisila_2_1_66,Eu ouvia a voz de um homem em minha mente.
Sub1_Prisila_2_1_67,A voz arrogante de um homem me menosprezando.
Sub1_Prisila_2_1_68,"Bem, não há nada de errado com os seus soldados, visto que estão apenas seguindo as suas ordens."
Sub1_Prisila_2_1_69,Não espere apoio de agora em diante.
Sub1_Prisila_2_1_70,Não temos tempo nem energia para desperdiçar com uma traidora.
