KEY,English
Sub1_Viska_Title,Law of the Jungle
Sub1_Viska_1_1_1,Is it true that the Demons are causing a ruckus again?
Sub1_Viska_1_1_2,"You still haven't heard from the expedition? I heard that powerful Demons showed up and are going around, killing everyone."
Sub1_Viska_1_1_3,"And not only that... There's been many incidents, and the Holy Knights of the Church of Lua are being called every day."
Sub1_Viska_1_1_4,I don't think it's something that lowly soldiers like us can do anything about...
Sub1_Viska_1_1_5,That's why Demia from the Guardian Knights gave us the order.
Sub1_Viska_1_1_6,"We've been told that unless it's absolutely unavoidable, we should just run away."
Sub1_Viska_1_1_7,"Of course. We may be able to deal with one or two low-ranking Demons like Skeletons or Zombies,"
Sub1_Viska_1_1_8,but the Undead move in armies...
Sub1_Viska_1_1_9,And there's no way we can fight against high-ranking Demons.
Sub1_Viska_1_1_10,"Anyway, if Demons appear, we must report it first."
Sub1_Viska_1_1_11,...!?... Wait... Did you hear that?
Sub1_Viska_1_1_12,Someone's there... Who goes there!?
Sub1_Viska_1_1_13,*Yawn* I can smell it now... I suppose I should get going...
Sub1_Viska_1_1_14,Oh? Orvelia soldiers. Hello.
Sub1_Viska_1_1_15,Huh? Is that kid from around here?
Sub1_Viska_1_1_16,"Kid, where did you come from? It's dangerous outside because of the Demons. Go back home."
Sub1_Viska_1_1_17,Want me to take you home?
Sub1_Viska_1_1_18,"Huh? No, no need to. Anyway..."
Sub1_Viska_1_1_19,...?
Sub1_Viska_1_1_20,Aren't you in danger?
Sub1_Viska_1_1_21,Didn't you say the Demons have been causing a ruckus? You might die?
Sub1_Viska_1_1_22,"Well, this is our job..."
Sub1_Viska_1_1_23,"Since it's come to this, I'll tell you something good."
Sub1_Viska_1_1_24,Look far north. Can't you see something?
Sub1_Viska_1_1_25,"Hm...? No, I don't see anything..."
Sub1_Viska_1_1_26,"Wait, it looks like smoke..."
Sub1_Viska_1_1_27,Isn't that Lime Village near the northern sea?
Sub1_Viska_1_1_28,"Oh, Lime Village near the sea? That name sounds delicious."
Sub1_Viska_1_1_29,"Anyway, that village is about to fall."
Sub1_Viska_1_1_30,It will reach here soon.
Sub1_Viska_1_1_31,"The lowly Undead's large army, that is."
Sub1_Viska_1_1_32,Come on. There's no way those lowly Undeads made ships to come across the sea...
Sub1_Viska_1_1_33,"And even then, how would you know...?"
Sub1_Viska_1_1_34,!!!!
Sub1_Viska_1_1_35,"Look, they're already here."
Sub1_Viska_1_1_36,"Mister, wouldn't it be better if you run away now?"
Sub1_Viska_1_1_37,They really came across the sea... What was the navy doing!?
Sub1_Viska_1_1_38,Go back to the capital and report to Demia!
Sub1_Viska_1_1_39,What about you!?
Sub1_Viska_1_1_40,We can't leave a little girl alone! I'll take her to the closest fortress!
Sub1_Viska_1_1_41,Come here.
Sub1_Viska_1_1_42,It's gonna be alright. I'll protect you!
Sub1_Viska_1_1_43,...
Sub1_Viska_1_1_44,*Sigh.* Humans really are annoying.
Sub1_Viska_1_1_45,People who can't even take care of themselves are worrying about others.
Sub1_Viska_1_1_46,...?!
Sub1_Viska_1_1_47,A-a Demon!?
Sub1_Viska_1_1_48,"You couldn't tell? Keh heh... Well, I don't blame you for that."
Sub1_Viska_1_1_49,The owner of this body was a human after all. Heh heh heh heh!
Sub1_Viska_1_1_50,"And I'm a cute little girl, right? Of course, you wouldn't be able to tell."
Sub1_Viska_1_1_51,You evil Demon! You stole the body of a little girl...!
Sub1_Viska_1_1_52,"Stole? Heh heh heh, don't say that."
Sub1_Viska_1_1_53,"If it wasn't for me, this girl must have been eaten by the crows."
Sub1_Viska_1_1_54,"Without the contract with me, she would've died from the wound from another Demon."
Sub1_Viska_1_1_55,Shouldn't I be called her savior? Heh heh heh...
Sub1_Viska_1_1_56,Anyway.
Sub1_Viska_1_1_57,I have no interest in killing weaklings like you.
Sub1_Viska_1_1_58,Though it'll be different if you challenge me.
Sub1_Viska_1_1_59,Alright. I'll give you 10 seconds. Decide if you'll fight or run away.
Sub1_Viska_1_1_60,"But if you'll fight me, you better be prepared to die. Heh heh heh!"
Sub1_Viska_1_1_61,E-eek!
Sub1_Viska_1_1_62,"Just as I thought. Well, those obstacles are gone."
Sub1_Viska_1_1_63,I'm getting hungry...
Sub1_Viska_1_1_64,Well? There might be a high-ranking Demon leading those Undeads...
Sub1_Viska_1_1_65,I'm looking forward to it. Hm hm hm...
Sub1_Viska_1_1_66,Let's see... Shall I start hunting?
Sub1_Viska_1_2_1,You lowly Undeads are nothing!
Sub1_Viska_1_2_2,I can't even get full from you!
Sub1_Viska_1_2_3,"And you taste so bad! Ugh, no nutritional value whatsoever!"
Sub1_Viska_1_2_4,"And worst of all, I can't even get stronger!"
Sub1_Viska_1_2_5,Where's the strongest one? Is there no one!?
Sub1_Viska_1_2_6,I'll just kill you all! Kya ha ha ha!
Sub1_Viska_1_3_1,Oh? Are you the leader?
Sub1_Viska_1_3_2,You are pretty big... But you are still a lowly Undead.
Sub1_Viska_1_3_3,"And you look too hideous to taste good. No, you don't look like a leader..."
Sub1_Viska_1_3_4,Kya ha ha...!!!
Sub1_Viska_1_3_5,"Hm hm hm, I really shouldn't associate with Undeads."
Sub1_Viska_1_3_6,They can't even recognize a high-ranking Demon like myself.
Sub1_Viska_1_3_7,And you all keep challenging me! Trash!
Sub1_Viska_1_4_1,*Spit* Ugh. It tastes disgusting.
Sub1_Viska_1_4_2,Fine. I got the information I needed from that soul I ate.
Sub1_Viska_1_4_3,"Malduk is their master, huh?"
Sub1_Viska_1_4_4,Malduk. I don't think I've heard that name before in the Demon's World...
Sub1_Viska_1_4_5,Did he become a Demon on this side? He became Angmund's adviser right after becoming a lich...
Sub1_Viska_1_4_6,"He might be strong, then. I don't like the fact that he's an Undead, though..."
Sub1_Viska_1_4_7,"Oh, well. It was my goal to eat and absorb Angmund and all his followers, anyway."
Sub1_Viska_1_4_8,"So, I have to go to Galluah Plains? I don't think I can go across the sea by myself..."
Sub1_Viska_1_4_9,"Oh, well!"
Sub1_Viska_1_4_10,I'm sure I'll get there if I keep walking. La la la.
Sub1_Viska_2_1_1,The energy from this forest is quite powerful.
Sub1_Viska_2_1_2,"Though it's not quite a good fit for me, since I'm a Demon..."
Sub1_Viska_2_1_3,Huh?
Sub1_Viska_2_1_4,I think I can smell Undeads on that side...
Sub1_Viska_2_1_5,"Hm. Yes, my sense of smell is good."
Sub1_Viska_2_1_6,"It's from the sea, so they probably took a ship from Galluah Plains."
Sub1_Viska_2_1_7,Tsk. But this bunch of humans is too damn weak.
Sub1_Viska_2_1_8,They are having a hard time against those trashy Skeletons...
Sub1_Viska_2_1_9,It's pathetic.
