KEY,"Thai"
NORMALBOSS_TITLE,"BOSS"
CREATURE_RACE_TYPE.HERO,"Hero"
CREATURE_RACE_TYPE.DARKNESS,"Darkness of Hero"
CREATURE_RACE_TYPE.FAIRY,"Fairy"
CREATURE_RACE_TYPE.NPC,"NPC"
CREATURE_RACE_TYPE.GOBLIN,"ก๊อบลิน"
CREATURE_RACE_TYPE.ORC,"ออร์ค"
CREATURE_RACE_TYPE.SLIME,"สไลม์"
CREATURE_RACE_TYPE.GOLEM,"โกเลม"
CREATURE_RACE_TYPE.SPIDER,"แมงมุม"
CREATURE_RACE_TYPE.GIANT_WORM,"หนอนยักษ์"
CREATURE_RACE_TYPE.SKELETON,"โครงกระดูก"
CREATURE_RACE_TYPE.BOAR,"หมูป่า"
CREATURE_RACE_TYPE.ENT,"ต้นไม้ปีศาจ"
CREATURE_RACE_TYPE.DRYAD,"นางไม้"
CREATURE_RACE_TYPE.HARPY,"ฮาร์ปี้"
CREATURE_RACE_TYPE.DARK_ELF,"เอลฟ์มืด"
CREATURE_RACE_TYPE.LAUGHING_MASK,"หน้ากากหัวเราะ"
CREATURE_RACE_TYPE.LIVING_WEAPON,"อาวุธมีชีวิต"
CREATURE_RACE_TYPE.MUHROOM,"เห็ด"
CREATURE_RACE_TYPE.WASP,"ตัวต่อ"
CREATURE_RACE_TYPE.NEPENTHES,"ต้นไม้กินคน"
CREATURE_RACE_TYPE.TORTOISE,"เต่า"
CREATURE_RACE_TYPE.MIMIC,"กล่องปีศาจ"
CREATURE_RACE_TYPE.WOLF,"หมาป่า"
CREATURE_RACE_TYPE.HORNED_BEAR,"ฮอร์นแบร์"
CREATURE_RACE_TYPE.GNOLL,"ไฮยีน่า"
CREATURE_RACE_TYPE.BARRICADE,"เครื่องกีดขวาง"
CREATURE_RACE_TYPE.Scorpion,"แมงป่อง"
CREATURE_RACE_TYPE.Hydra,"ไฮดร้า"
CREATURE_RACE_TYPE.Mummy,"มัมมี่"
CREATURE_RACE_TYPE.Lizardman,"มนุษย์กิ้งก่า"
CREATURE_RACE_TYPE.FrostGiant,"ยักษ์น้ำแข็ง"
CREATURE_RACE_TYPE.BOSS,"บอส"
CREATURE_RACE_TYPE.RAID,"Raid"
CREATURE_NAME_1,"Kasel"
CREATURE_TITLE_1,"Kasel เทพแห่งนักรบ"
CREATURE_DESC_1,"นักรบผู้ถูกเลือกจากเทพธิดา ผู้แบกดาบใหญ่ติดตัวตลอดเวลาเพื่อฟาดฟันความชั่วร้ายที่ขวางหน้า\nด้วยพลังจากเทพธิดา Lua เขาสามารถปลุกพลังแฝงและระเบิดพลังทำลายได้ช่วงเวลาหนึ่ง"
CREATURE_NAME_2,"Frey"
CREATURE_TITLE_2,"Frey นักบวชศักสิทธ์"
CREATURE_DESC_2,"เธอเป็นเพื่อนสนิทของ Kasel ตั้งแต่เด็ก และยังเป็นนักบวชศักดิ์สิทธิ์ผู้รับใช้เทพธิดาอีกด้วย\nด้วยคำอวยพรของเทพธิดา เธอสามารถเพิ่มพลังเวทย์และพลังปกป้องรักษาของเธอได้ช่วงเวลาหนึ่ง"
CREATURE_NAME_3,"Cleo"
CREATURE_TITLE_3,"Cleo นักเวทย์แห่งอเวจี"
CREATURE_DESC_3,"สาวน้อยจอมเวทย์ไฟความมั่นใจสูงจาก Red Tower เธอคือผู้ถือกำเนิดมาพร้อมกับพลังแห่งไฟ สามารถใช้ไฟโจมตีเป้าหมาย\nได้เป็นกลุ่ม และยังทำให้เวทย์ไฟของเธอระเบิดเพื่อเพิ่มความเสียหายได้อีกด้วย"
CREATURE_NAME_4,"Roi"
CREATURE_TITLE_4,"Roi มือสังหาร"
CREATURE_DESC_4,"เมื่อก่อนเขาเป็นนักฆ่าผู้ชั่วร้าย และกลับใจเพื่อแก้ไขอดีตของตน เขาเชี่ยวชาญการโจมตีใส่เป้าหมายเดียว\nและสร้างความเสียหายอย่างรุนแรงโดยที่เป้าหมายของเขาไม่ทันตั้งตัว"
CREATURE_NAME_5,"Gau"
CREATURE_TITLE_5,"Gau บาบาเรียนแห่งดินแดนน้ำแข็ง"
CREATURE_DESC_5,"บาบาเรียนจากขุนเขาเยือกแข็ง เสียงคำรามของเขาทำให้ศัตรูหวาดกลัว และยังทำลายประสาทการรับฟัง เปิดช่องให้ถูกจู่โจมอย่างง่ายดาย"
CREATURE_NAME_6,"Phillop"
CREATURE_TITLE_6,"Phillop ราชาคนแคระ"
CREATURE_DESC_6,"นักล่ามังกรในตำนาน ผู้ปราบมังกรที่มีชื่อเสียง จู่โจมด้วยโล่อันทรงพลัง\nหยุดยั้งศัตรูทุกรูปแบบ มุ่งหมายต่อชีวิตเท่านั้น"
CREATURE_NAME_7,"Lakrak"
CREATURE_TITLE_7,"Lakrak มือปืนรับจ้าง"
CREATURE_DESC_7,"ก็อบลินเผือกผู้เชี่ยวชาญด้านเครื่องยนต์กลไก ปืนของเขาสามารถยิงและระเบิดได้\nสามารถก่อกวน และกำจัดเป้าหมายได้ด้วยกระสุนแบบต่างๆ"
CREATURE_NAME_8,"Kaulah"
CREATURE_TITLE_8,"Kaulah หมอผีสายฟ้า"
CREATURE_DESC_8,"เขาเป็นหัวหน้าออคของเผ่า Sky Wind เขาใช้พลังธรรมชาติโจมตีเป้าหมายด้วยท้องฟ้าและสายลม\nสายฟ้าที่รุนแรงของเขาสามารถทำให้เป้าหมายชา ในขณะเดียวกันก็ฟื้นฟูเพื่อนร่วมทีมด้วยพลังแห่งลมได้อีกด้วย"
CREATURE_NAME_9,"Epis"
CREATURE_TITLE_9,"Epis ปีศาจเจ้าเสน่ห์"
CREATURE_DESC_9,"เธอเป็นปีศาจเลือดเย็นที่ชอบหาเรื่องสนุกทำอะไรตามใจตัวเอง งานอดิเรกของเธอคือการใช้เคียวขนาดใหญ่ล่าวิญญาณของศัตรู\nเธอชอบไปโพล่กลางดงศัตรูพร้อมกับกวาดศัตรูรอบๆ ให้หายไปในคราวเดียว"
CREATURE_NAME_10,"Selene"
CREATURE_TITLE_10,"Selene นักธนูแห่งสายลม"
CREATURE_DESC_10,"เธอคือเอลฟ์ผู้เย่อหยิ่ง ผู้พิทักษ์แห่ง Forest of Life ลูกธนูของเธออาบไปด้วยพลังดวงจันทร์\nที่พร้อมจะวิ่งเข้าหาเป้าหมายของเธอหากเธอต้องการ"
CREATURE_NAME_11,"Maria"
CREATURE_TITLE_11,"Maria แม่มดตกสวรรค์"
CREATURE_DESC_11,"เทพผู้ได้รับพรจากฮีโร่ได้ช่วยโลกไว้ในอดีต คำสาปด้วยขนอีกา\nใส่ศัตรูทำลายการต่อสู้ทุกรูปแบบ"
CREATURE_NAME_12,"Miruru"
CREATURE_TITLE_12,"Miruru ราชินีโจรสลัด"
CREATURE_DESC_12,"โจรสลัดในตำนานผู้ถูกสาปให้กลายเป็นเด็กผู้หญิงตัวเล็กๆ\nเขามีสามารถสามารถในการยิงกระสุนปืนใหญ่ใส่หัวของศัตรูอย่างแม่นยำ"
CREATURE_NAME_13,"Lorraine"
CREATURE_TITLE_13,"Lorraine นักปราชญ์ผู้ยิ่งใหญ่"
CREATURE_DESC_13,"เอลฟ์ Druid ผู้ที่เข้าร่วมในกองกำลังพันธมิตรของมนุษย์เมื่อครั้งที่ราชาปีศาจบุกโลก\nสื่อสารกับธรรมชาติและโจมตีศัตรูโดยการใช้ต้นไม้"
CREATURE_NAME_14,"Maya"
CREATURE_TITLE_14,"Maya บีสท์มาสเตอร์ผู้กล้าหาญ"
CREATURE_DESC_14,"Maya คือนักล่าผู้เยือกเย็น ผู้สวมใส่ชุดเกราะสัตว์ดุร้ายของนักล่าหมี\nเธอขว้างบูมเมอแรงใส่ศัตรูและฟาดฟันศัตรูด้วยกงเล็บอันแหลมคม"
CREATURE_NAME_15,"Clause"
CREATURE_TITLE_15,"Clause อัศวินเกราะเหล็ก"
CREATURE_DESC_15,"เขาเคยเป็นอัศวินผู้เดินทางไปทั่วโลก ไม่ว่าการรบใดๆ เขาจะเป็นคนที่ยืนกองหน้าปกป้องพรรคพวกที่อยู่ข้างหลังเสมอ\nไม่ว่าศัตรูจะบุกมาในรูปแบบไหนเขาก็จะป้องกันและสวนกลับจนศัตรูไม่สามารถบุกเข้ามาได้ เขาได้จึงได้สมญานามว่ากำแพงเหล็ก"
CREATURE_NAME_16,"Rephy"
CREATURE_TITLE_16,"Rephy ผู้นำทางวิญญาณ"
CREATURE_DESC_16,"ครึ่งมนุษย์, ครึ่งสัตว์ เผ่าพันธุ์ที่นำทางวิญญาณด้วยการใช้ตะเกียงแห่งวิญญาณ\nฮีลพันธมิตร ด้วยพลังแห่งวิญญาณ\nก่อกวนศัตรูหรือฟื้นฟู Mana ของพันธมิตรด้วยความช่วยเหลือของวิญญาณ"
CREATURE_NAME_17,"Dimael"
CREATURE_TITLE_17,"Dimael นักล่าแห่งเงา"
CREATURE_DESC_17,"ดาร์คเอลฟ์ลงมือล่าศัตรูในเงามืด\nการล้างแค้นด้วยหน้าไม้\nใช้ความมืดแทรกซึมผ่านศัตรูอย่างไม่มีเมตตา"
CREATURE_NAME_18,"Reina"
CREATURE_TITLE_18,"Reina นักรบสายแบ๊ว"
CREATURE_DESC_18,"ทหารรับจ้างผู้ใช้ดาบแสงมือเดียว\nหลบหลีกการโจมตีด้วยความเร็วแสง\nและแทงผ่านศัตรูด้วยปลายแหลมของดาบ"
CREATURE_NAME_19,"Pavel"
CREATURE_TITLE_19,"Pavel พ่อมดมังกรน้ำแข็ง"
CREATURE_DESC_19,"นักเวทย์ผู้ได้รับพลังจากคำสาปมังกรน้ำแข็ง ใช้พลังเวทย์น้ำแข็งที่รุนแรงแช่แข็งศัตรู"
CREATURE_NAME_20,"Demia"
CREATURE_TITLE_20,"Demia อัศวินแห่งโล่"
CREATURE_DESC_20,"อัศวินผู้พิทักษ์ ซึ่งถือหอกและโล่ขนาดใหญ่\nยืนเผชิญหน้ากับศัตรูด้วยความแน่วแน่ \nและกำจัดศัตรูด้วยปลายหอก"
CREATURE_NAME_21,"Naila"
CREATURE_TITLE_21,"Naila นักรบวายุ"
CREATURE_DESC_21,"Harpy มีความเชี่ยวชาญในการต่อสู้ระยะประชิดด้วยการใช้สนับมือ\nเคลื่อนผ่านและล้มศัตรูลงได้อย่างรวดเร็ว\nโจมตีศัตรูด้วยการปล่อยพลังอย่างต่อเนื่อง"
CREATURE_NAME_22,"Rodina"
CREATURE_TITLE_22,"Rodina สไนเปอร์สาว"
CREATURE_DESC_22,"เธอคือสไนเปอร์จากอาณาจักรที่มีแต่การต่อสู้  ในตอนที่, เธอเล็งไปที่เป้าหมายอย่างใจเย็น, ยิ่งเธอใช้สมาธิกับการเล็งไปที่เป้าหมายมากเท่าไหร่ มันก็ยิ่งจะทำให้เห็นถึงพลังที่แท้จริงของเธอ"
CREATURE_NAME_23,"Morrah"
CREATURE_TITLE_23,"Morrah ปีศาจไฟ"
CREATURE_DESC_23,"อัศวินปีศาจที่ใช้ลาวาจากพลังที่ชั่วร้าย\nสร้างบาดแผลที่เจ็บปวดให้กับศัตรูอย่างฉกรรจ์และทำให้ศัตรูพ่ายแพ้ด้วยความแข็งแกร่งจากการป้องกันที่เปรียบเหมือนหินแกรนิต"
CREATURE_NAME_24,"Baudouin"
CREATURE_TITLE_24,"Baudouin นักบวชแห่งแสง"
