KEY,Russian
NORMALBOSS_TITLE,БОСС
CREATURE_RACE_TYPE.HERO,Герой
CREATURE_RACE_TYPE.DARKNESS,Тьма героя
CREATURE_RACE_TYPE.FAIRY,Фея
CREATURE_RACE_TYPE.NPC,НИП
CREATURE_RACE_TYPE.GOBLIN,Гоблин
CREATURE_RACE_TYPE.ORC,Орк
CREATURE_RACE_TYPE.SLIME,Слизь
CREATURE_RACE_TYPE.GOLEM,Голем
CREATURE_RACE_TYPE.SPIDER,Паук
CREATURE_RACE_TYPE.GIANT_WORM,Гигантский червь
CREATURE_RACE_TYPE.SKELETON,Скелет
CREATURE_RACE_TYPE.BOAR,Кабан
CREATURE_RACE_TYPE.ENT,Энт
CREATURE_RACE_TYPE.DRYAD,Дриада
CREATURE_RACE_TYPE.HARPY,Гарпия
CREATURE_RACE_TYPE.DARK_ELF,Темный эльф
CREATURE_RACE_TYPE.LAUGHING_MASK,Смеющаяся маска
CREATURE_RACE_TYPE.LIVING_WEAPON,Живое оружие
CREATURE_RACE_TYPE.MUHROOM,Морум
CREATURE_RACE_TYPE.WASP,Оса
CREATURE_RACE_TYPE.NEPENTHES,Непентес
CREATURE_RACE_TYPE.TORTOISE,Черепаха
CREATURE_RACE_TYPE.MIMIC,Мимик
CREATURE_RACE_TYPE.WOLF,Волк
CREATURE_RACE_TYPE.HORNED_BEAR,Рогатый медведь
CREATURE_RACE_TYPE.GNOLL,Гнолл
CREATURE_RACE_TYPE.BARRICADE,Баррикада
CREATURE_RACE_TYPE.Scorpion,Скорпион
CREATURE_RACE_TYPE.Hydra,Гидра
CREATURE_RACE_TYPE.Mummy,Мумия
CREATURE_RACE_TYPE.Lizardman,Ящер
CREATURE_RACE_TYPE.FrostGiant,Ледяной гигант
CREATURE_RACE_TYPE.BOSS,Главарь
CREATURE_RACE_TYPE.RAID,Рейд
CREATURE_NAME_1,Кассель
CREATURE_TITLE_1,Воин священного меча Кассель
CREATURE_DESC_1,"Избранный воин священного меча Эа, однажды спасшего мир. Может оттеснить врагов и укрепить себя силой этого меча."
CREATURE_NAME_2,Фрэй
CREATURE_TITLE_2,Жрица света Фрэй
CREATURE_DESC_2,"Подруга детства Касселя, жрица, служащая богине. Лечит и защищает союзников силой света.\nС благословения богини может временно увеличить магические силы и сопротивление к ним."
CREATURE_NAME_3,Клео
CREATURE_TITLE_3,Колдунья Чистилища Клео
CREATURE_DESC_3,"Смелая колдунья из Красной башни. Использует мощную магию огня, чтобы наносить урон нескольким врагам,\nа затем причиняет еще больший ущерб, взрывая угли."
CREATURE_NAME_4,Рой
CREATURE_TITLE_4,Быстрый убийца Рой
CREATURE_DESC_4,"Бывший убийца, скрывающий свое прошлое. Сосредотачивается на одной цели,\nобрушивая бесконечные мощные удары на врага со спины."
CREATURE_NAME_5,Гау
CREATURE_TITLE_5,Воин из холодных земель Гау
