KEY,"ChineseTraditional"
E_C19_Feb_Lewisia01_01,"紅色滿月…是今天嗎？"
E_C19_Feb_Lewisia01_02,"呵呵呵…"
E_C19_Feb_Lewisia01_03,"今天想做點不一樣的事～"
E_C19_Feb_Lewisia01_04,"（過了一會）"
E_C19_Feb_Lewisia01_05,"露兒…啊…不對，露伊希亞找我來有什麼事嗎…？"
E_C19_Feb_Lewisia01_06,"呵呵，高爾，你可以隨意叫我，沒關係的，露兒也是我沒錯啊。"
E_C19_Feb_Lewisia01_07,"那…那我還是跟以前一樣…叫妳露兒…"
E_C19_Feb_Lewisia01_08,"呵。"
E_C19_Feb_Lewisia01_09,"宴會邀請？露伊希亞妳？太陽打西邊出來了嗎？而且小野蠻人也來啦。"
E_C19_Feb_Lewisia01_10,"妳竟然要舉辦宴會，真是無奇不有啊。"
E_C19_Feb_Lewisia01_11,"菲洛普、帕菲，歡迎。"
E_C19_Feb_Lewisia01_12,"（矮人王和冰龍魔法師…）"
E_C19_Feb_Lewisia01_13,"我是最後一個客人嗎？露伊希亞？"
E_C19_Feb_Lewisia01_14,"歡迎妳，羅蘭。"
E_C19_Feb_Lewisia01_15,"（森林賢者…）"
E_C19_Feb_Lewisia01_16,"好久不見，露伊希亞。"
E_C19_Feb_Lewisia01_17,"我收到邀請後在來的路上想了想，我記得這時候是妳的生日。"
E_C19_Feb_Lewisia01_18,"露兒的生日…！"
E_C19_Feb_Lewisia01_19,"是啊，今天是我看到紅月的日子。"
E_C19_Feb_Lewisia01_20,"待在人類的世界生活久了，我好像也產生了某些人類的情感。"
E_C19_Feb_Lewisia01_21,"讓我突然想要獲得人類所謂的生日祝福。"
E_C19_Feb_Lewisia01_22,"說是這樣說，但妳邀請的對象裡"
E_C19_Feb_Lewisia01_23,"也只有這個小朋友是人類啊，還真是矛盾，哈哈哈哈哈。"
E_C19_Feb_Lewisia01_24,"呵呵呵，所以我和高爾的緣分對我來說很珍貴。"
E_C19_Feb_Lewisia01_25,"以前住在孤兒院的那段期間，高爾也都會幫那些孩子過生日。"
E_C19_Feb_Lewisia01_26,"能…能跟拯救世界的英雄齊聚一堂，我也覺得很榮幸。"
E_C19_Feb_Lewisia01_27,"呵呵呵…真是個善良單純的青年，我能強烈地感受到你身上有著寒冰精怪的庇護。"
E_C19_Feb_Lewisia01_28,"喔…喔…"
E_C19_Feb_Lewisia01_29,"他還只是個欠缺力量的孩子。"
E_C19_Feb_Lewisia01_30,"我們是不是該切入正題啦？"
E_C19_Feb_Lewisia01_31,"啊！說得沒錯。"
E_C19_Feb_Lewisia01_32,"我代表森林精靈和精怪，為純粹的赤光支配者獻上祝福。"
E_C19_Feb_Lewisia01_33,"哈…羅蘭，那麼拘謹的致詞在正式場合說就好。"
E_C19_Feb_Lewisia01_34,"託妳的福，氣氛突然變得好嚴肅喔。"
E_C19_Feb_Lewisia01_35,"哎呀，這不是我的本意……"
E_C19_Feb_Lewisia01_36,"那就簡單地跟妳說聲生日快樂～露伊希亞，這是禮物。"
E_C19_Feb_Lewisia01_37,"這裡聚集了許多蘊含小精怪氣息的露珠，有助於回復魔力。"
E_C19_Feb_Lewisia01_38,"哈哈哈，羅蘭跟我想的一樣啊。"
E_C19_Feb_Lewisia01_39,"我在旅行途中得到了蘊含純粹魔力的魔力石，當時就想著之後要把這東西送給露伊希亞。"
E_C19_Feb_Lewisia01_40,"生日快樂，露伊希亞，收下吧。"
E_C19_Feb_Lewisia01_41,"生日快樂，收下吧，這是蘊含冰龍魔力的雪結晶。"
E_C19_Feb_Lewisia01_42,"應該不需要另外說明了吧。"
E_C19_Feb_Lewisia01_43,"呃…雖然來不及準備禮物，但祝妳生日快樂，露伊。"
E_C19_Feb_Lewisia01_44,"他們認識我很久了，知道我的情況，所以才會事先準備好禮物。"
E_C19_Feb_Lewisia01_45,"只是剛好時間對上而已，我不是想收禮物才邀請你們的，希望你不要有負擔。"
E_C19_Feb_Lewisia01_46,"這次邀請大家，只是因為我想跟人類一樣收到生日祝福。"
E_C19_Feb_Lewisia01_47,"可是……"
E_C19_Feb_Lewisia01_48,"下次妳生日我一定會準備禮物！"
E_C19_Feb_Lewisia01_49,"呵呵…好！高爾的心意我一定會牢牢記住的。"
E_C19_Feb_Lewisia01_50,"那麼現在正式開始生日宴會吧，今晚大家盡情享受～"
E_C19_Feb_Sonia01_01,"米芮安～"
E_C19_Feb_Sonia01_02,"米芮安～"
E_C19_Feb_Sonia01_03,"咦…跑去哪了？"
E_C19_Feb_Sonia01_04,"（砰！）"
E_C19_Feb_Sonia01_05,"米芮安？"
E_C19_Feb_Sonia01_06,"哎唷，原來是索妮亞呀！"
E_C19_Feb_Sonia01_07,"妳有什麼急事嗎？"
E_C19_Feb_Sonia01_08,"啊，爺爺，您有看到米芮安嗎？"
E_C19_Feb_Sonia01_09,"米芮安？"
E_C19_Feb_Sonia01_10,"嗯…我也不知道她去哪了。"
E_C19_Feb_Sonia01_11,"嗯，我知道了，謝謝您，爺爺。"
E_C19_Feb_Sonia01_12,"雖然把力量用在這種事上好像有點不妥…"
E_C19_Feb_Sonia01_13,"...（啪啪）"
E_C19_Feb_Sonia01_14,"…"
E_C19_Feb_Sonia01_15,"…找到了。米芮安隨身攜帶的魔法短劍的電力反應…"
E_C19_Feb_Sonia01_16,"很好，在這個方向。"
E_C19_Feb_Sonia01_17,"咦？怎麼會有個瓶子？"
E_C19_Feb_Sonia01_18,"!!!"
E_C19_Feb_Sonia01_19,"咳咳、咳咳…什麼？這個粉末是…？"
E_C19_Feb_Sonia01_20,"好眼熟…哎，是米芮安的惡作劇嗎？"
E_C19_Feb_Sonia01_21,"重新探測…"
E_C19_Feb_Sonia01_22,"呃…！（啪啪）"
E_C19_Feb_Sonia01_23,"這個粉末是什麼啊？電氣信號朝四面八方發射，根本沒辦法探測嘛！"
E_C19_Feb_Sonia01_24,"這…應該有好一陣子都不能探測了吧…"
E_C19_Feb_Sonia01_25,"嗯？有一張紙條…"
E_C19_Feb_Sonia01_26,"引誘成功！"
E_C19_Feb_Sonia01_27,"嘿嘿，這陣子收集雅那地掉下的粉末都是值得的～"
E_C19_Feb_Sonia01_28,"索妮亞會怎麼出來呢？"
E_C19_Feb_Sonia01_29,"米芮安…突然玩起捉迷藏，這是怎麼回事？"
E_C19_Feb_Sonia01_30,"算了，應該沒關係吧。"
E_C19_Feb_Sonia01_31,"那我就來好好抓人吧！"
E_C19_Feb_Sonia01_32,"探測不了…我得使用別的法子。"
E_C19_Feb_Sonia01_33,"發現米芮安了！"
E_C19_Feb_Sonia01_34,"…咦？！怎麼這、這麼快…"
E_C19_Feb_Sonia01_35,"妳忘了嗎？"
E_C19_Feb_Sonia01_36,"我有這個戒指啊。"
E_C19_Feb_Sonia01_37,"…"
E_C19_Feb_Sonia01_38,"嗚嗚，妳犯規～"
E_C19_Feb_Sonia01_39,"玩捉迷藏哪有什麼犯規？"
E_C19_Feb_Sonia01_40,"我抓到米芮安了，是我贏了吧？"
E_C19_Feb_Sonia01_41,"…哈哈哈。"
E_C19_Feb_Sonia01_42,"不對！是我贏了！"
E_C19_Feb_Sonia01_43,"索妮亞姐姐生日快樂！"
E_C19_Feb_Sonia01_44,"生日快樂，索妮亞！／生日快樂，索妮亞～"
E_C19_Feb_Sonia01_45,"…咦？"
E_C19_Feb_Sonia01_46,"之前這時候妳都在旅行，所以一直沒機會…"
E_C19_Feb_Sonia01_47,"弟弟妹妹們真的很想藉這次的機會幫妳慶生。"
E_C19_Feb_Sonia01_48,"多虧米芮安吸引了索妮亞的注意力，我們才能準備地這麼完全。"
E_C19_Feb_Sonia01_49,"米芮安，辛苦妳了。"
E_C19_Feb_Sonia01_50,"嘿嘿嘿，不客氣，爺爺。"
E_C19_Feb_Sonia01_51,"跟索妮亞玩捉迷藏我也覺得很好玩。"
E_C19_Feb_Sonia01_52,"…"
E_C19_Feb_Sonia01_53,"…謝謝。"
