KEY,German
MENU_ARCHIVE,Index
ARCHIVE_SELECT,Wähle Index
ARCHIVE_HERO,Helden-Index
ARCHIVE_HERO_DESC,"Zeigt Informationen über den Helden an, etwa Profil und Stimme."
ARCHIVE_MONSTER,Monster-Index
ARCHIVE_MONSTER_DESC,Zeigt die Beschreibungen von Skills und Monstern an.
ARCHIVE_ITEM,Gegenstands-Index
ARCHIVE_ITEM_DESC,"Zeigt Informationen zu Einzigartigen Waffen, Artefakten usw. an."
ARCHIVE_UNIQUE_WEAPON,Einzigartiger Waffen-Index
ARCHIVE_UNIQUE_WEAPON_DESC,Zeigt Informationen zu Einzigartigen Waffen an.
ARCHIVE_ARTIFACT,Artefakt-Index
ARCHIVE_ARTIFACT_DESC,Zeigt Informationen zu Artefakten an.
ARCHIVE_EQUIMENT,Allg. Ausrüstungs-Index
ARCHIVE_EQUIMENT_DESC,Zeigt Informationen zu Ausrüstung an.
ARCHIVE_NORMAL_ITEM,Allg. Gegenstands-Index
ARCHIVE_NORMAL_TEM_DESC,Zeigt Informationen zu Verbrauchsgüter an.
ARCHIVE_TREASURE,Einzigartiger Schatz-Index
ARCHIVE_TREASURE_DESC,Zeigt Informationen über Einzigartige Schätze an.
ARCHIVE_COLLECT_RATE,Sammlungsfortschritt
ARCHIVE_PROFILE,Profil
ARCHIVE_HERO_SKILL_SHOW,Skill-Eigenschaft anzeigen
ARCHIVE_HERO_SKILL_HIDE,Skill-Eigenschaft verbergen
ARCHIVE_HERO_SKILL_SHOW2,Skill-Eigenschaft anzeigen
ARCHIVE_TRANSCEND,Transzendenz
ARCHIVE_VOICE,Stimme
ARCHIVE_ILLUST,Bild
ARCHIVE_UI_HIDE,Benutzeroberfläche anzeigen
ARCHIVE_SHOW_ANI,Animation ansehen
ARCHIVE_HERO_NAME,Name
ARCHIVE_HERO_TITLE,Titel
ARCHIVE_HERO_GENDER,Geschlecht
HERO_GENDER_MALE,Männlich
HERO_GENDER_FEMALE,Weiblich
HERO_GENDER_PAVEL,Männlich (+Weiblich)
HERO_GENDER_KARA,Neutral (frauenähnlich)
HERO_GENDER_RAVRIL,Weiblich (Der Hase ist ein Männchen.)
ARCHIVE_HERO_RACE,Volk
ARCHIVE_HERO_AGE,Alter
ARCHIVE_HERO_AGE_DESC,{1} Jahre
ARCHIVE_HERO_LENGTH,Größe
ARCHIVE_HERO_LENGTH_DESC,{1} cm
ARCHIVE_HERO_BIRTH,Geburtstag
ARCHIVE_HERO_BIRTH_DESC,{2}. (Tag) {1}. (Monat)
ARCHIVE_HERO_CONSTELL,Sternbild
ARCHIVE_HERO_LIKE,Mag
ARCHIVE_HERO_UNLIKE,Mag nicht
ARCHIVE_HERO_STORY,Geschichte
ARCHIVE_HERO_NOTHOLDING,Du hast diesen Helden nicht.
ARCHIVE_CV_NAME,Synchronsprecher (Lebenslauf)
ARCHIVE_VOCIE_NOINFO,Keine Synchronsprecher-Info
HERO_VOICE_ATTACK_1,Rufen
HERO_VOICE_ATTACK_2,Einfacher Angriff II
HERO_VOICE_ATTACK_3,Einfacher Angriff III
HERO_VOICE_SKILL_1,Benutze Skill I
HERO_VOICE_SKILL_2,Benutze Skill II
HERO_VOICE_SKILL_3,Benutze Skill III
HERO_VOICE_SKILL_4,Benutze Skill IV
HERO_VOICE_HIT,Schaden
HERO_VOICE_LOSE,Gefallen
HERO_VOICE_JOIN,Gruppe beitreten
HERO_VOICE_VICTORY,Kampf gewinnen
HERO_VOICE_AWAKE,Filmsequenz: Erweckung
HERO_VOICE_TRANS,Filmsequenz: Transzendenz
HERO_VOICE_INNREACTION,Reaktion in der Schänke
HERO_VOICE_ATTACK_1_LEWISIA5,Einfacher Angriff (5★)
HERO_VOICE_SKILL_1_LEWSIA5,Blutkugel (5★)
HERO_VOICE_SKILL_2_LEWSIA5,Blut-Zone (5★)
HERO_VOICE_SKILL_3_LEWSIA5,Blut-Bankett (5★)
HERO_VOICE_SKILL_4_LEWSIA5,Skill 4 benutzen (5★)
HERO_VOICE_HIT_LEWSIA5,Schaden (5★)
HERO_VOICE_LOSE_LEWSIA5,Gefallen (5★)
HERO_VOICE_JOIN_LEWSIA5,Gruppe beitreten (5★)
HERO_VOICE_VICTORY_LEWSIA5,Kampf gewinnen (5★)
HERO_VOICE_AWAKE_LEWSIA5,Filmsequenz: Erweckung (5★)
HERO_VOICE_TRANS_LEWSIA5,Filmsequenz: Transzendenz (5★)
